"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0036294","cellular response to decreased oxygen levels","58/1897","243/21006",0.238683127572016,2.64300357289287,8.11657153884689,3.96145413624715e-12,4.13179666410578e-09,4.13179666410578e-09,"AT3G43190/AT4G23570/AT5G37670/AT1G53840/AT5G58070/AT2G42670/AT1G19250/AT3G18290/AT1G25560/AT3G24500/AT1G13360/AT5G62520/AT1G68690/AT4G26270/AT3G02555/AT1G07870/AT3G08720/AT2G18670/AT1G15010/AT1G09070/AT1G66880/AT1G03220/AT1G78070/AT1G76650/AT1G28760/AT2G15890/AT2G26660/AT5G65207/AT1G68670/AT1G10140/AT5G12020/AT4G27450/AT3G62410/AT2G25735/AT1G17290/AT1G21550/AT1G19530/AT5G39890/AT4G01250/AT5G42200/AT5G15120/AT3G60520/AT5G64260/AT1G59860/AT1G26270/AT4G32480/AT4G11660/AT3G22550/AT4G24230/AT4G31970/AT1G77120/AT5G05410/AT1G26800/AT5G20250/AT3G02040/AT4G38470/AT5G54940/AT4G30440",58
"GO:0071453","cellular response to oxygen levels","58/1897","243/21006",0.238683127572016,2.64300357289287,8.11657153884689,3.96145413624715e-12,4.13179666410578e-09,4.13179666410578e-09,"AT3G43190/AT4G23570/AT5G37670/AT1G53840/AT5G58070/AT2G42670/AT1G19250/AT3G18290/AT1G25560/AT3G24500/AT1G13360/AT5G62520/AT1G68690/AT4G26270/AT3G02555/AT1G07870/AT3G08720/AT2G18670/AT1G15010/AT1G09070/AT1G66880/AT1G03220/AT1G78070/AT1G76650/AT1G28760/AT2G15890/AT2G26660/AT5G65207/AT1G68670/AT1G10140/AT5G12020/AT4G27450/AT3G62410/AT2G25735/AT1G17290/AT1G21550/AT1G19530/AT5G39890/AT4G01250/AT5G42200/AT5G15120/AT3G60520/AT5G64260/AT1G59860/AT1G26270/AT4G32480/AT4G11660/AT3G22550/AT4G24230/AT4G31970/AT1G77120/AT5G05410/AT1G26800/AT5G20250/AT3G02040/AT4G38470/AT5G54940/AT4G30440",58
"GO:0071456","cellular response to hypoxia","57/1897","241/21006",0.236514522821577,2.61899001918294,7.96457769393138,8.99643311920614e-12,4.94656524523449e-09,4.94656524523449e-09,"AT3G43190/AT4G23570/AT5G37670/AT1G53840/AT5G58070/AT2G42670/AT1G19250/AT3G18290/AT1G25560/AT3G24500/AT1G13360/AT5G62520/AT1G68690/AT4G26270/AT3G02555/AT1G07870/AT3G08720/AT2G18670/AT1G15010/AT1G09070/AT1G66880/AT1G03220/AT1G78070/AT1G76650/AT1G28760/AT2G15890/AT2G26660/AT5G65207/AT1G68670/AT1G10140/AT5G12020/AT4G27450/AT2G25735/AT1G17290/AT1G21550/AT1G19530/AT5G39890/AT4G01250/AT5G42200/AT5G15120/AT3G60520/AT5G64260/AT1G59860/AT1G26270/AT4G32480/AT4G11660/AT3G22550/AT4G24230/AT4G31970/AT1G77120/AT5G05410/AT1G26800/AT5G20250/AT3G02040/AT4G38470/AT5G54940/AT4G30440",57
"GO:0036293","response to decreased oxygen levels","62/1897","275/21006",0.225454545454545,2.49651986389994,7.87072493578187,1.00631034971608e-11,4.94656524523449e-09,4.94656524523449e-09,"AT3G43190/AT4G23570/AT5G37670/AT1G53840/AT5G58070/AT2G42670/AT1G19250/AT3G18290/AT1G25560/AT3G24500/AT1G13360/AT5G62520/AT1G68690/AT4G26270/AT3G02555/AT1G07870/AT3G08720/AT2G18670/AT1G15010/AT1G09070/AT1G66880/AT5G25110/AT1G03220/AT1G78070/AT1G76650/AT1G28760/AT2G15890/AT2G26660/AT5G65207/AT1G68670/AT1G10140/AT5G12020/AT4G27450/AT3G62410/AT2G25735/AT1G17290/AT1G21550/AT1G19530/AT5G39890/AT4G01250/AT5G42200/AT5G15120/AT3G60520/AT5G64260/AT1G59860/AT1G26270/AT4G32480/AT4G11660/AT3G22550/AT4G32690/AT4G24230/AT4G31970/AT1G77120/AT5G05410/AT4G19230/AT3G28910/AT1G26800/AT5G20250/AT3G02040/AT4G38470/AT5G54940/AT4G30440",62
"GO:0070482","response to oxygen levels","62/1897","276/21006",0.22463768115942,2.48747450207421,7.83755223053747,1.18565801659504e-11,4.94656524523449e-09,4.94656524523449e-09,"AT3G43190/AT4G23570/AT5G37670/AT1G53840/AT5G58070/AT2G42670/AT1G19250/AT3G18290/AT1G25560/AT3G24500/AT1G13360/AT5G62520/AT1G68690/AT4G26270/AT3G02555/AT1G07870/AT3G08720/AT2G18670/AT1G15010/AT1G09070/AT1G66880/AT5G25110/AT1G03220/AT1G78070/AT1G76650/AT1G28760/AT2G15890/AT2G26660/AT5G65207/AT1G68670/AT1G10140/AT5G12020/AT4G27450/AT3G62410/AT2G25735/AT1G17290/AT1G21550/AT1G19530/AT5G39890/AT4G01250/AT5G42200/AT5G15120/AT3G60520/AT5G64260/AT1G59860/AT1G26270/AT4G32480/AT4G11660/AT3G22550/AT4G32690/AT4G24230/AT4G31970/AT1G77120/AT5G05410/AT4G19230/AT3G28910/AT1G26800/AT5G20250/AT3G02040/AT4G38470/AT5G54940/AT4G30440",62
"GO:0001666","response to hypoxia","61/1897","271/21006",0.225092250922509,2.49250807742658,7.79157658790526,1.58599602980537e-11,5.09498422776691e-09,5.09498422776691e-09,"AT3G43190/AT4G23570/AT5G37670/AT1G53840/AT5G58070/AT2G42670/AT1G19250/AT3G18290/AT1G25560/AT3G24500/AT1G13360/AT5G62520/AT1G68690/AT4G26270/AT3G02555/AT1G07870/AT3G08720/AT2G18670/AT1G15010/AT1G09070/AT1G66880/AT5G25110/AT1G03220/AT1G78070/AT1G76650/AT1G28760/AT2G15890/AT2G26660/AT5G65207/AT1G68670/AT1G10140/AT5G12020/AT4G27450/AT2G25735/AT1G17290/AT1G21550/AT1G19530/AT5G39890/AT4G01250/AT5G42200/AT5G15120/AT3G60520/AT5G64260/AT1G59860/AT1G26270/AT4G32480/AT4G11660/AT3G22550/AT4G32690/AT4G24230/AT4G31970/AT1G77120/AT5G05410/AT4G19230/AT3G28910/AT1G26800/AT5G20250/AT3G02040/AT4G38470/AT5G54940/AT4G30440",61
"GO:0044282","small molecule catabolic process","52/1897","212/21006",0.245283018867925,2.71608597487592,7.91250469579379,1.70972625092849e-11,5.09498422776691e-09,5.09498422776691e-09,"AT3G51840/AT3G17940/AT2G43400/AT1G50940/AT3G58750/AT1G72990/AT4G34030/AT4G39660/AT1G06570/AT3G13750/AT2G26230/AT5G28050/AT1G78440/AT4G36360/AT1G64660/AT4G10490/AT1G76150/AT5G38710/AT1G03090/AT3G45300/AT2G19570/AT1G08630/AT5G07440/AT1G06130/AT5G20710/AT5G17330/AT5G65110/AT5G15140/AT5G43430/AT4G16760/AT2G14170/AT1G17290/AT5G46180/AT5G58660/AT1G22430/AT5G09300/AT5G42250/AT1G02400/AT5G53970/AT2G28470/AT3G26115/AT1G22440/AT2G19800/AT1G55510/AT4G33150/AT2G03800/AT1G77120/AT2G32150/AT4G17260/AT5G62530/AT3G47800/AT5G18170",52
"GO:0009414","response to water deprivation","87/1897","461/21006",0.188720173535792,2.08975011349122,7.4541879863744,2.47870920328843e-11,6.46323424757458e-09,6.46323424757458e-09,"AT5G63460/AT1G74920/AT1G04400/AT5G40010/AT1G49230/AT4G15910/AT1G74520/AT3G13380/AT5G24090/AT5G58070/AT1G12610/AT2G21620/AT1G30270/AT2G39800/AT1G69310/AT1G79600/AT2G25625/AT4G33950/AT1G76180/AT2G18050/AT5G12290/AT3G24500/AT4G18780/AT1G05260/AT1G12110/AT5G06530/AT1G59870/AT1G15690/AT5G56030/AT1G15520/AT3G05700/AT1G44170/AT1G46768/AT1G54100/AT1G58440/AT1G60200/AT2G37770/AT1G05680/AT2G22430/AT1G02730/AT1G64660/AT5G24030/AT5G13750/AT5G38710/AT4G14540/AT4G13850/AT4G17615/AT5G57050/AT3G53600/AT5G56550/AT5G03740/AT4G20260/AT4G34890/AT1G01620/AT2G21660/AT1G22810/AT2G14260/AT2G17840/AT3G56200/AT2G38470/AT5G66880/AT3G16857/AT3G22380/AT5G08520/AT1G01470/AT1G18390/AT1G62280/AT4G37790/AT1G77120/AT5G05410/AT1G78080/AT2G32150/AT2G35930/AT1G52340/AT1G68090/AT5G52300/AT3G63520/AT5G05690/AT4G20350/AT4G26555/AT5G25620/AT5G58787/AT5G58430/AT1G75380/AT5G14420/AT1G08720/AT5G61590",87
"GO:0009415","response to water","87/1897","475/21006",0.183157894736842,2.02815747856727,7.14130234313652,1.24102642441246e-10,2.87642346813821e-08,2.87642346813821e-08,"AT5G63460/AT1G74920/AT1G04400/AT5G40010/AT1G49230/AT4G15910/AT1G74520/AT3G13380/AT5G24090/AT5G58070/AT1G12610/AT2G21620/AT1G30270/AT2G39800/AT1G69310/AT1G79600/AT2G25625/AT4G33950/AT1G76180/AT2G18050/AT5G12290/AT3G24500/AT4G18780/AT1G05260/AT1G12110/AT5G06530/AT1G59870/AT1G15690/AT5G56030/AT1G15520/AT3G05700/AT1G44170/AT1G46768/AT1G54100/AT1G58440/AT1G60200/AT2G37770/AT1G05680/AT2G22430/AT1G02730/AT1G64660/AT5G24030/AT5G13750/AT5G38710/AT4G14540/AT4G13850/AT4G17615/AT5G57050/AT3G53600/AT5G56550/AT5G03740/AT4G20260/AT4G34890/AT1G01620/AT2G21660/AT1G22810/AT2G14260/AT2G17840/AT3G56200/AT2G38470/AT5G66880/AT3G16857/AT3G22380/AT5G08520/AT1G01470/AT1G18390/AT1G62280/AT4G37790/AT1G77120/AT5G05410/AT1G78080/AT2G32150/AT2G35930/AT1G52340/AT1G68090/AT5G52300/AT3G63520/AT5G05690/AT4G20350/AT4G26555/AT5G25620/AT5G58787/AT5G58430/AT1G75380/AT5G14420/AT1G08720/AT5G61590",87
"GO:0031667","response to nutrient levels","57/1897","294/21006",0.193877551020408,2.14685916538466,6.23948527824691,2.52040170822141e-08,5.25755796334986e-06,5.25755796334986e-06,"AT3G43190/AT5G53000/AT3G06420/AT1G01140/AT1G30270/AT3G49720/AT2G33770/AT3G18290/AT1G79600/AT3G17810/AT1G62040/AT5G63320/AT1G58250/AT5G21170/AT5G03570/AT5G54730/AT4G16520/AT1G07650/AT4G37870/AT3G47340/AT2G14210/AT1G20630/AT3G06850/AT1G15960/AT1G14860/AT1G64660/AT4G26150/AT2G26660/AT4G17615/AT1G55180/AT1G15460/AT5G53420/AT1G62300/AT1G80480/AT2G45630/AT5G14740/AT2G02990/AT4G33580/AT4G20260/AT5G42870/AT5G20410/AT1G67480/AT2G05630/AT3G02570/AT3G08860/AT2G02470/AT2G42280/AT5G48850/AT4G35090/AT1G55510/AT4G32480/AT3G22550/AT3G51770/AT3G62420/AT5G28770/AT5G18170/AT2G19590",57
