"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","photosynthesis","106/2531","200/21006",0.53,4.39872777558277,17.8752561325393,3.42897549940813e-45,7.15284289176536e-42,7.15284289176536e-42,"AT5G66190/AT3G08010/AT4G04850/AT3G55330/AT1G70760/AT5G01920/AT1G45474/AT3G01500/AT3G54890/AT3G05410/AT1G78995/AT1G15980/AT5G54270/AT1G19150/AT5G38410/AT1G64150/AT1G03600/AT2G30570/AT1G54500/AT2G05100/AT4G30950/AT4G31390/AT1G18730/AT2G05620/AT1G71500/AT1G27730/AT2G40100/AT3G49720/AT1G55480/AT1G55670/AT1G14150/AT4G03280/AT1G68830/AT5G24120/AT5G64040/AT4G10340/AT3G55800/AT3G01480/AT1G06680/AT4G27600/AT1G61800/AT2G46820/AT1G75690/AT3G11670/AT1G76550/AT5G52100/AT5G52520/AT3G61320/AT1G79040/AT1G43670/AT3G01440/AT4G33470/AT1G08380/AT5G08720/AT1G67090/AT1G67740/AT3G15850/AT3G63540/AT5G08410/AT4G25910/AT3G46610/AT3G50820/AT4G35440/AT1G76570/AT3G56650/AT1G77090/AT5G42270/AT1G34000/AT3G61470/AT1G29930/AT3G27925/AT5G27390/AT1G64860/AT4G22890/AT2G20890/AT1G61520/AT3G53920/AT1G64810/AT2G34860/AT3G47470/AT1G15820/AT3G03380/AT4G23890/AT1G76450/AT4G01050/AT1G67840/AT2G30950/AT4G04640/AT3G54050/AT3G16250/AT4G33520/AT5G49740/AT3G55250/AT2G04700/AT4G27800/AT1G42970/AT5G23120/AT1G64770/AT5G01500/AT4G05180/AT5G02120/AT3G15095/AT4G09650/AT4G02530/AT1G54780/AT4G35250",106
"GO:0019684","photosynthesis, light reaction","86/2531","146/21006",0.589041095890411,4.88873854613748,17.4519199709445,9.25878226613801e-42,9.65690990358194e-39,9.65690990358194e-39,"AT5G66190/AT3G08010/AT3G55330/AT1G70760/AT5G01920/AT1G45474/AT3G54890/AT3G05410/AT1G78995/AT1G15980/AT5G54270/AT1G19150/AT1G64150/AT1G03600/AT2G30570/AT1G54500/AT2G05100/AT4G30950/AT4G31390/AT1G18730/AT2G05620/AT1G71500/AT2G40100/AT1G55480/AT1G55670/AT1G14150/AT4G03280/AT1G68830/AT5G24120/AT5G64040/AT4G10340/AT3G01480/AT1G06680/AT2G46820/AT1G75690/AT3G11670/AT5G52100/AT3G61320/AT1G79040/AT3G01440/AT4G33470/AT1G08380/AT5G08720/AT1G67740/AT3G15850/AT3G63540/AT4G25910/AT3G46610/AT3G50820/AT4G35440/AT1G76570/AT3G56650/AT1G77090/AT5G42270/AT1G34000/AT3G61470/AT1G29930/AT3G27925/AT4G22890/AT2G20890/AT1G61520/AT2G34860/AT3G47470/AT1G15820/AT3G03380/AT4G23890/AT1G76450/AT4G01050/AT2G30950/AT4G04640/AT3G54050/AT3G16250/AT4G33520/AT5G49740/AT3G55250/AT4G27800/AT5G23120/AT1G64770/AT5G01500/AT4G05180/AT5G02120/AT3G15095/AT4G09650/AT4G02530/AT1G54780/AT4G35250",86
"GO:0006091","generation of precursor metabolites and energy","149/2531","385/21006",0.387012987012987,3.21200901034959,16.2135302919431,1.46379973396634e-41,1.01782874835126e-38,1.01782874835126e-38,"AT5G24400/AT5G66190/AT3G08010/AT3G55330/AT1G70760/AT5G01920/AT2G26800/AT1G45474/AT3G54890/AT3G05410/AT1G78995/AT1G15980/AT5G54270/AT1G19150/AT4G17650/AT1G27680/AT1G64150/AT2G44350/AT1G03600/AT2G45290/AT3G55440/AT2G30570/AT1G54500/AT2G05100/AT4G30950/AT5G43330/AT4G31390/AT1G53310/AT5G51060/AT2G39930/AT1G18730/AT3G52990/AT3G14940/AT2G05620/AT1G71500/AT2G40100/AT5G08690/AT2G22480/AT1G13440/AT1G80230/AT3G46970/AT1G55480/AT1G55670/AT1G14150/AT4G03280/AT1G68830/AT5G24120/AT5G66760/AT5G64040/AT1G01090/AT4G10340/AT3G01480/AT2G05710/AT1G06680/AT5G56350/AT1G10960/AT2G46820/AT4G02580/AT1G75690/AT5G42740/AT3G11670/AT3G22960/AT2G27510/AT5G61410/AT1G74030/AT5G52100/AT1G56190/AT3G61320/AT3G15840/AT1G79040/AT4G26530/AT4G05020/AT4G14890/AT1G22170/AT3G01440/AT4G33470/AT1G08380/AT5G08720/AT1G67740/AT1G68750/AT3G15850/AT3G63540/AT5G48300/AT4G25910/AT3G46610/AT3G50820/AT4G35440/AT1G76570/AT3G56650/AT1G77090/AT5G42270/AT1G34000/AT3G61470/AT1G05575/AT1G29930/AT3G27925/AT4G22890/AT2G20890/AT1G61520/AT2G36530/AT2G34860/AT5G64210/AT2G21590/AT3G47470/AT3G02360/AT1G15820/AT3G03380/AT4G23890/AT2G20420/AT3G16950/AT1G76450/AT5G52920/AT5G61580/AT4G01050/AT2G30950/AT5G35790/AT4G04640/AT3G54050/AT5G65750/AT3G16250/AT4G38970/AT2G01140/AT4G33520/AT5G49740/AT5G58330/AT3G55250/AT4G39210/AT4G27800/AT5G23120/AT5G19220/AT1G64770/AT4G01100/AT3G60750/AT2G34590/AT5G08680/AT5G01500/AT3G04120/AT5G40810/AT4G05180/AT3G06483/AT5G40760/AT5G02120/AT3G15095/AT2G21330/AT2G44620/AT4G09650/AT4G02530/AT1G54780/AT4G35250",149
"GO:0009657","plastid organization","107/2531","318/21006",0.336477987421384,2.79259447008044,11.9220667911566,2.77067572496875e-24,1.4449073905712e-21,1.4449073905712e-21,"AT2G25870/AT3G08010/AT4G04850/AT5G58140/AT5G56860/AT4G31850/AT3G02380/AT4G01150/AT2G30040/AT5G40270/AT2G16365/AT5G23040/AT5G46290/AT1G12410/AT2G01110/AT2G04270/AT3G62910/AT1G32500/AT4G16390/AT2G38370/AT4G31390/AT3G56910/AT2G40480/AT1G44000/AT2G31690/AT5G22830/AT5G62440/AT3G29185/AT2G34620/AT1G44575/AT2G16800/AT2G26570/AT5G24120/AT3G46630/AT3G23400/AT2G21280/AT5G10490/AT4G38470/AT5G36170/AT5G58770/AT5G22640/AT2G07050/AT2G46820/AT4G28740/AT2G38140/AT1G75100/AT1G03160/AT1G28530/AT1G06870/AT1G62750/AT1G56190/AT3G61320/AT5G26742/AT3G10420/AT4G31780/AT4G13200/AT3G56290/AT1G74730/AT3G19720/AT3G25690/AT3G23020/AT5G13770/AT1G79600/AT2G33800/AT3G17040/AT2G28800/AT4G25910/AT1G66840/AT3G46610/AT4G35440/AT4G01940/AT5G17790/AT3G56940/AT2G20890/AT1G64810/AT2G34860/AT5G54600/AT2G33150/AT4G27670/AT1G68590/AT5G65460/AT2G28000/AT3G18420/AT4G20360/AT2G30950/AT1G09340/AT1G11870/AT1G64500/AT5G08050/AT3G24590/AT5G23120/AT1G32080/AT4G09620/AT3G63140/AT5G24314/AT5G55280/AT1G20830/AT5G12130/AT4G37650/AT5G15450/AT1G42550/AT2G46340/AT5G59220/AT5G48470/AT2G20570/AT2G30520/AT3G10670",107
"GO:0032787","monocarboxylic acid metabolic process","134/2531","486/21006",0.275720164609054,2.28833574783792,10.6358867866906,5.45967883750734e-21,2.27777801100806e-18,2.27777801100806e-18,"AT1G08510/AT2G13560/AT1G19440/AT1G67560/AT4G13040/AT1G44350/AT4G10490/AT4G29010/AT3G51840/AT1G48030/AT1G49430/AT2G37040/AT3G48460/AT5G09660/AT5G46290/AT3G23790/AT1G52340/AT1G77590/AT1G12050/AT2G04240/AT3G55440/AT5G04620/AT2G29090/AT5G67030/AT3G45140/AT4G30950/AT2G43710/AT2G43360/AT2G38550/AT2G18950/AT5G08415/AT4G08850/AT2G31690/AT1G67730/AT3G52990/AT4G31500/AT1G07260/AT1G73805/AT3G14440/AT2G22480/AT1G13440/AT2G06050/AT3G06350/AT1G80360/AT3G53140/AT4G25050/AT1G01090/AT5G42650/AT2G32720/AT5G16390/AT1G10670/AT4G15530/AT5G56350/AT1G01120/AT2G05990/AT2G22230/AT1G68530/AT1G17420/AT5G63380/AT1G76690/AT5G23190/AT5G63450/AT5G42740/AT4G05530/AT3G22960/AT1G74030/AT1G56190/AT2G04350/AT4G39950/AT2G44810/AT3G10870/AT4G14430/AT3G47860/AT4G26530/AT4G36830/AT2G26250/AT4G05160/AT1G13280/AT1G01710/AT5G05580/AT1G22170/AT2G47240/AT3G06650/AT3G25780/AT2G23620/AT3G15850/AT1G16060/AT3G07560/AT3G15730/AT2G45670/AT4G23850/AT1G79750/AT2G36530/AT1G55020/AT2G33150/AT1G72520/AT3G16950/AT4G32770/AT5G57580/AT5G52920/AT5G61580/AT1G74960/AT3G23840/AT1G20510/AT4G38970/AT2G01140/AT1G67280/AT1G66430/AT4G15440/AT1G65690/AT4G24230/AT5G24530/AT1G11840/AT2G34590/AT4G00570/AT4G00360/AT3G53480/AT1G19250/AT3G04120/AT1G43800/AT1G19640/AT3G52430/AT3G06483/AT2G13810/AT5G04660/AT2G46370/AT4G17260/AT2G27150/AT2G21330/AT5G04760/AT2G44620/AT2G45970/AT5G17380/AT2G28880",134
"GO:0009767","photosynthetic electron transport chain","33/2531","47/21006",0.702127659574468,5.82729893995309,12.2626133918613,2.38915808632103e-20,8.30630628010945e-18,8.30630628010945e-18,"AT5G66190/AT1G70760/AT1G78995/AT1G15980/AT4G30950/AT4G31390/AT1G18730/AT2G05620/AT1G55670/AT1G14150/AT4G03280/AT5G64040/AT2G46820/AT3G01440/AT1G08380/AT1G67740/AT3G15850/AT3G50820/AT5G42270/AT4G22890/AT3G03380/AT4G23890/AT4G01050/AT2G30950/AT4G04640/AT3G54050/AT3G16250/AT4G33520/AT5G49740/AT4G27800/AT1G64770/AT4G05180/AT4G09650",33
"GO:0009611","response to wounding","84/2531","274/21006",0.306569343065693,2.5443680839344,9.52402860634826,1.46416203896106e-16,4.36320287610395e-14,4.36320287610395e-14,"AT4G39980/AT1G67560/AT2G46970/AT2G20340/AT3G53260/AT5G24090/AT2G37040/AT1G04220/AT4G01370/AT3G11480/AT3G17860/AT1G01720/AT1G72450/AT4G17980/AT3G51480/AT3G45140/AT5G20900/AT3G51420/AT5G46050/AT2G26690/AT1G42540/AT5G47010/AT5G14780/AT1G27730/AT3G48360/AT2G06050/AT1G55480/AT5G05730/AT5G50200/AT4G32940/AT5G42650/AT1G51760/AT1G32640/AT2G30490/AT1G17420/AT1G76690/AT5G63450/AT2G28900/AT4G21440/AT3G25250/AT1G17840/AT2G44810/AT4G16740/AT2G02990/AT4G34190/AT2G47800/AT1G31690/AT1G73500/AT4G24220/AT3G12500/AT1G02205/AT3G14050/AT1G55020/AT2G33150/AT1G51680/AT1G72520/AT3G54420/AT4G38130/AT2G27690/AT4G35550/AT1G20510/AT1G19180/AT1G72300/AT1G09340/AT5G47240/AT1G76650/AT1G05200/AT4G15440/AT4G26640/AT2G14580/AT4G08170/AT1G78080/AT5G47910/AT1G66760/AT4G11280/AT5G09810/AT5G08790/AT1G19640/AT2G46370/AT4G20140/AT5G13930/AT1G73080/AT1G80840/AT3G23050",84
"GO:0016053","organic acid biosynthetic process","124/2531","492/21006",0.252032520325203,2.09174046698981,9.06968024582565,3.69907950791983e-16,8.57364428168974e-14,8.57364428168974e-14,"AT4G39980/AT1G08510/AT1G67560/AT3G09150/AT4G29840/AT2G22250/AT4G29010/AT1G49430/AT3G14390/AT5G46290/AT3G23790/AT1G52340/AT3G48560/AT5G04620/AT2G27820/AT2G44160/AT5G67030/AT3G45140/AT4G30950/AT2G43710/AT2G43360/AT2G18950/AT1G74910/AT5G08415/AT4G08850/AT2G31690/AT1G67730/AT3G58610/AT3G20390/AT3G53180/AT4G31500/AT1G73805/AT4G33680/AT3G14440/AT1G75330/AT2G06050/AT5G53460/AT3G06350/AT1G08630/AT1G80360/AT4G25050/AT2G36690/AT5G05730/AT2G26560/AT4G33510/AT2G39800/AT5G28237/AT4G27070/AT5G42650/AT2G32720/AT5G16390/AT3G07270/AT1G10670/AT5G14800/AT1G01120/AT2G05990/AT2G22230/AT1G17420/AT5G63380/AT1G76690/AT5G23190/AT3G11670/AT4G26850/AT5G52100/AT4G13930/AT4G39950/AT4G24830/AT2G44810/AT1G22410/AT4G34200/AT5G34930/AT5G17990/AT4G36830/AT2G29690/AT4G05160/AT1G13280/AT1G11790/AT5G05580/AT5G28840/AT5G66120/AT3G06650/AT3G25780/AT2G13360/AT3G15850/AT3G29200/AT1G16060/AT5G10870/AT1G17745/AT4G23850/AT1G79750/AT1G55020/AT5G17920/AT1G79900/AT2G33150/AT1G72520/AT5G37600/AT5G57580/AT5G52920/AT1G74960/AT3G23840/AT1G20510/AT2G17265/AT4G37930/AT1G66430/AT1G65690/AT3G62030/AT1G49820/AT5G35630/AT1G66230/AT5G04140/AT1G19250/AT3G02870/AT1G19640/AT3G52430/AT2G13810/AT3G57560/AT2G27150/AT5G14060/AT5G04760/AT2G44620/AT3G61440/AT2G45300/AT4G32980/AT2G28880",124
"GO:0046394","carboxylic acid biosynthetic process","124/2531","492/21006",0.252032520325203,2.09174046698981,9.06968024582565,3.69907950791983e-16,8.57364428168974e-14,8.57364428168974e-14,"AT4G39980/AT1G08510/AT1G67560/AT3G09150/AT4G29840/AT2G22250/AT4G29010/AT1G49430/AT3G14390/AT5G46290/AT3G23790/AT1G52340/AT3G48560/AT5G04620/AT2G27820/AT2G44160/AT5G67030/AT3G45140/AT4G30950/AT2G43710/AT2G43360/AT2G18950/AT1G74910/AT5G08415/AT4G08850/AT2G31690/AT1G67730/AT3G58610/AT3G20390/AT3G53180/AT4G31500/AT1G73805/AT4G33680/AT3G14440/AT1G75330/AT2G06050/AT5G53460/AT3G06350/AT1G08630/AT1G80360/AT4G25050/AT2G36690/AT5G05730/AT2G26560/AT4G33510/AT2G39800/AT5G28237/AT4G27070/AT5G42650/AT2G32720/AT5G16390/AT3G07270/AT1G10670/AT5G14800/AT1G01120/AT2G05990/AT2G22230/AT1G17420/AT5G63380/AT1G76690/AT5G23190/AT3G11670/AT4G26850/AT5G52100/AT4G13930/AT4G39950/AT4G24830/AT2G44810/AT1G22410/AT4G34200/AT5G34930/AT5G17990/AT4G36830/AT2G29690/AT4G05160/AT1G13280/AT1G11790/AT5G05580/AT5G28840/AT5G66120/AT3G06650/AT3G25780/AT2G13360/AT3G15850/AT3G29200/AT1G16060/AT5G10870/AT1G17745/AT4G23850/AT1G79750/AT1G55020/AT5G17920/AT1G79900/AT2G33150/AT1G72520/AT5G37600/AT5G57580/AT5G52920/AT1G74960/AT3G23840/AT1G20510/AT2G17265/AT4G37930/AT1G66430/AT1G65690/AT3G62030/AT1G49820/AT5G35630/AT1G66230/AT5G04140/AT1G19250/AT3G02870/AT1G19640/AT3G52430/AT2G13810/AT3G57560/AT2G27150/AT5G14060/AT5G04760/AT2G44620/AT3G61440/AT2G45300/AT4G32980/AT2G28880",124
"GO:0072521","purine-containing compound metabolic process","77/2531","252/21006",0.305555555555556,2.53595416831292,9.07910028166731,3.29055171742282e-15,6.86409088254401e-13,6.86409088254401e-13,"AT4G32260/AT5G24400/AT5G14760/AT3G57610/AT5G40270/AT2G45290/AT3G55440/AT2G35040/AT1G65930/AT5G28050/AT3G52990/AT5G03300/AT5G27450/AT5G38450/AT4G11820/AT5G08690/AT2G22480/AT1G13440/AT1G55670/AT1G01090/AT1G31220/AT1G06730/AT1G21640/AT1G28960/AT1G10670/AT5G56350/AT4G29480/AT5G47435/AT5G42740/AT3G22960/AT5G61410/AT1G74030/AT1G56190/AT4G26530/AT1G01710/AT1G22170/AT3G52300/AT3G06650/AT4G17050/AT4G04880/AT3G17470/AT1G09830/AT2G23420/AT3G21070/AT3G14050/AT2G36530/AT5G49970/AT2G42910/AT3G02360/AT2G20420/AT3G16950/AT1G55090/AT5G52920/AT5G61580/AT5G35790/AT4G04640/AT4G38970/AT2G01140/AT1G31910/AT2G16570/AT3G60750/AT2G34590/AT5G08680/AT4G23900/AT1G76490/AT1G78590/AT3G04120/AT4G22570/AT5G14590/AT3G06483/AT5G40760/AT2G21410/AT1G04280/AT2G21330/AT4G09650/AT2G17340/AT3G11980",77
