"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","photosynthesis","137/5040","200/21006",0.685,2.85498214285714,14.8094518021705,1.20303939888743e-40,2.50954018607918e-37,2.07997157915068e-37,"AT5G66190/AT2G45770/AT3G08010/AT5G39830/AT3G55330/AT5G01920/AT3G21200/AT3G27925/AT5G44650/AT3G01500/AT3G54890/AT3G05410/AT4G19100/AT5G01600/AT3G04260/AT4G03280/AT5G38410/AT2G01918/AT1G09530/AT1G67740/AT4G04850/AT1G64810/AT3G15095/AT2G30950/AT5G57030/AT1G27730/AT2G40100/AT3G15850/AT2G40300/AT1G76570/AT3G49720/AT4G02530/AT3G55800/AT1G67840/AT1G54780/AT5G27390/AT1G06680/AT1G64860/AT1G68830/AT4G04640/AT1G76450/AT2G05620/AT3G16250/AT5G11450/AT1G34000/AT1G75540/AT3G04790/AT3G03630/AT4G33470/AT3G58830/AT3G11670/AT1G14150/AT3G60370/AT1G79040/AT1G18730/AT1G76550/AT3G63540/AT4G01050/AT1G67090/AT1G12000/AT3G56650/AT1G75690/AT4G10340/AT3G47470/AT1G71500/AT3G01480/AT3G01440/AT5G08720/AT3G61320/AT4G15510/AT3G46610/AT1G78995/AT5G08410/AT5G15802/AT1G32070/AT5G52100/AT2G01590/AT1G02910/AT1G64150/AT4G27600/AT2G39470/AT1G60600/AT1G19150/AT2G34860/AT4G22890/AT2G04700/AT1G55670/AT4G23890/AT1G61520/AT2G20890/AT2G31040/AT1G55370/AT5G52520/AT1G55480/AT1G43670/AT1G15980/AT4G02260/AT2G46820/AT5G49740/AT4G30950/AT4G27800/AT1G42970/AT4G25910/AT1G03600/AT5G23120/AT1G64770/AT5G01500/AT1G61800/AT4G18370/AT2G05100/AT2G47940/AT2G15820/AT4G33520/AT5G02120/AT5G24120/AT4G05180/AT3G61470/AT4G09650/AT5G54270/AT1G77090/AT4G35440/AT3G56010/AT1G70760/AT3G53920/AT1G08380/AT5G64040/AT1G29930/AT3G55250/AT3G50820/AT4G31390/AT1G45474/AT4G35250/AT3G54050/AT1G54500/AT1G15820/AT2G30570/AT3G08940",137
"GO:0019684","photosynthesis, light reaction","107/5040","146/21006",0.732876712328767,3.05452544031311,13.9961744793499,2.83572812945924e-36,2.95766443902598e-33,2.45138850852599e-33,"AT5G66190/AT2G45770/AT3G08010/AT5G39830/AT3G55330/AT5G01920/AT3G21200/AT3G27925/AT5G44650/AT3G54890/AT3G05410/AT4G19100/AT3G04260/AT4G03280/AT2G01918/AT1G09530/AT1G67740/AT3G15095/AT2G30950/AT5G57030/AT2G40100/AT3G15850/AT1G76570/AT4G02530/AT1G54780/AT1G06680/AT1G68830/AT4G04640/AT1G76450/AT2G05620/AT3G16250/AT5G11450/AT1G34000/AT4G33470/AT3G11670/AT1G14150/AT3G60370/AT1G79040/AT1G18730/AT3G63540/AT4G01050/AT3G56650/AT1G75690/AT4G10340/AT3G47470/AT1G71500/AT3G01480/AT3G01440/AT5G08720/AT3G61320/AT4G15510/AT3G46610/AT1G78995/AT1G32070/AT5G52100/AT2G01590/AT1G02910/AT1G64150/AT2G39470/AT1G60600/AT1G19150/AT2G34860/AT4G22890/AT1G55670/AT4G23890/AT1G61520/AT2G20890/AT1G55370/AT1G55480/AT1G15980/AT2G46820/AT5G49740/AT4G30950/AT4G27800/AT4G25910/AT1G03600/AT5G23120/AT1G64770/AT5G01500/AT4G18370/AT2G05100/AT2G47940/AT2G15820/AT4G33520/AT5G02120/AT5G24120/AT4G05180/AT3G61470/AT4G09650/AT5G54270/AT1G77090/AT4G35440/AT3G56010/AT1G70760/AT1G08380/AT5G64040/AT1G29930/AT3G55250/AT3G50820/AT4G31390/AT1G45474/AT4G35250/AT3G54050/AT1G54500/AT1G15820/AT2G30570/AT3G08940",107
"GO:0009657","plastid organization","173/5040","318/21006",0.544025157232704,2.26741913746631,12.795377855766,8.23899222840257e-32,5.72884592948259e-29,4.74821514345771e-29,"AT1G63680/AT2G25870/AT2G45770/AT3G08010/AT3G57190/AT2G21280/AT4G39460/AT5G44650/AT5G58140/AT1G69200/AT4G18160/AT3G24590/AT3G29185/AT1G35680/AT2G24060/AT4G31850/AT3G02380/AT2G37860/AT2G30040/AT5G40270/AT2G16365/AT5G46290/AT1G74730/AT2G25625/AT1G09340/AT4G04850/AT1G64810/AT3G56290/AT2G07050/AT5G26742/AT2G33150/AT2G30950/AT5G24314/AT3G04340/AT2G36000/AT5G18570/AT4G38470/AT1G50900/AT3G23400/AT1G45230/AT4G28740/AT4G22260/AT5G58650/AT3G05710/AT5G48470/AT3G25690/AT5G67385/AT2G38140/AT4G09620/AT1G66840/AT1G62750/AT2G33800/AT4G14870/AT4G01150/AT5G64050/AT2G39140/AT3G58830/AT5G62440/AT2G38370/AT1G20830/AT1G65260/AT2G26570/AT1G03160/AT4G38160/AT3G10350/AT5G54600/AT3G19720/AT1G08540/AT2G28000/AT2G28800/AT5G22640/AT5G15450/AT2G32480/AT5G36170/AT1G75010/AT4G23940/AT3G23020/AT4G35780/AT2G31840/AT3G63190/AT2G30170/AT2G21290/AT4G34090/AT4G33460/AT1G75100/AT1G21600/AT5G07900/AT1G63900/AT1G58200/AT4G01940/AT4G34020/AT4G26150/AT1G32080/AT3G61320/AT3G10670/AT2G40480/AT2G41660/AT3G46610/AT1G32500/AT1G70200/AT3G46630/AT1G32070/AT2G34620/AT1G79600/AT4G13200/AT5G02250/AT1G79850/AT1G11870/AT5G17790/AT2G34860/AT2G39290/AT5G65460/AT3G17040/AT5G14100/AT2G30520/AT5G61670/AT2G20890/AT5G51020/AT2G31040/AT3G48870/AT1G68050/AT1G42550/AT3G56940/AT5G22830/AT4G31780/AT1G64500/AT2G46820/AT2G04270/AT5G08050/AT4G37920/AT5G21920/AT4G37650/AT2G36250/AT1G12410/AT4G25910/AT4G14605/AT5G23120/AT1G44575/AT5G59220/AT1G69390/AT3G63140/AT5G55280/AT2G46340/AT4G28590/AT5G58770/AT5G12130/AT3G56910/AT4G19650/AT5G53860/AT3G45780/AT2G47940/AT5G24120/AT2G20570/AT1G68590/AT2G43090/AT1G44000/AT2G16070/AT2G18710/AT1G50840/AT4G20360/AT4G35440/AT2G16800/AT4G27670/AT5G13770/AT1G28530/AT4G31390/AT3G46740/AT1G10430/AT5G56860/AT3G62910/AT1G56190/AT2G01110/AT4G16390",173
"GO:0006091","generation of precursor metabolites and energy","188/5040","385/21006",0.488311688311688,2.0352133580705,11.5181815519122,1.22396339355348e-26,6.38296909738142e-24,5.29036928230785e-24,"AT5G24400/AT5G66190/AT2G45770/AT3G08010/AT5G39830/AT5G61410/AT4G35830/AT3G55440/AT3G55330/AT5G44520/AT2G22480/AT5G01920/AT3G21200/AT3G27925/AT2G21330/AT5G44650/AT3G29320/AT5G43330/AT3G54890/AT3G05410/AT2G07689/AT2G18660/AT4G19100/AT3G04260/AT4G03280/AT5G15120/AT2G01918/AT5G18800/AT1G09530/AT1G67740/AT2G44350/AT1G07030/AT2G39930/AT3G15095/AT2G30950/AT5G08530/AT5G57030/AT2G40100/AT3G15850/AT5G42740/AT1G76570/AT4G02530/AT4G02580/AT4G22260/AT5G56350/AT1G54780/AT1G10960/AT1G06680/AT4G26270/AT1G68830/AT4G04640/AT2G47510/AT1G76450/AT3G20790/AT1G74030/AT2G05620/AT4G26530/AT1G09020/AT3G16250/AT5G52920/AT5G11450/AT1G34000/AT3G22960/AT4G10040/AT3G04790/AT4G33470/AT3G11670/AT3G52990/AT1G14150/AT3G60370/AT1G79040/AT1G18730/AT1G77120/AT2G34590/AT3G63540/AT4G01050/AT5G48300/AT5G19220/AT3G46970/AT3G56650/AT1G75690/AT4G10340/AT3G47470/AT1G68750/AT1G01090/AT2G36460/AT2G01290/AT1G71500/AT3G01480/AT2G44620/AT3G01440/AT3G19190/AT5G58330/AT5G08720/AT3G61320/AT4G15510/AT3G46610/AT1G78995/AT5G64210/AT1G32070/AT4G35260/AT5G52100/AT2G01590/AT1G22170/AT1G02910/AT1G64150/AT2G39470/AT1G60600/AT1G19150/AT2G34860/AT2G36580/AT4G22890/AT1G47840/AT1G55670/AT4G38970/AT4G23890/AT3G45300/AT1G61520/AT2G20890/AT1G27680/AT5G61580/AT1G03310/AT5G35790/AT3G22370/AT1G55370/AT1G12230/AT1G55480/AT1G15980/AT2G21590/AT2G46820/AT5G49740/AT5G52840/AT4G30950/AT4G39210/AT4G27800/AT4G34700/AT4G25910/AT1G03600/AT5G23120/AT3G15840/AT5G08680/AT1G13440/AT1G64770/AT3G04120/AT1G19530/AT2G05710/AT5G01500/AT4G18370/AT4G14890/AT3G06483/AT2G05100/AT2G47940/AT2G15820/AT3G16950/AT4G33520/AT5G02120/AT5G24120/AT3G60750/AT4G05180/AT3G61470/AT4G09650/AT5G17310/AT5G54270/AT1G32550/AT1G77090/AT4G35440/AT3G56010/AT4G05020/AT1G70760/AT1G08380/AT5G64040/AT5G66760/AT1G29930/AT3G55250/AT3G50820/AT4G31390/AT1G45474/AT4G35250/AT3G54050/AT2G36220/AT1G54500/AT1G15820/AT2G30570/AT3G08940/AT2G40810/AT5G17770/AT1G56190/AT3G58750",188
"GO:0009658","chloroplast organization","129/5040","243/21006",0.530864197530864,2.21256613756614,10.6817416377773,9.13805498140545e-23,3.81239653824236e-20,3.15981249951035e-20,"AT1G63680/AT2G25870/AT3G08010/AT3G57190/AT2G21280/AT4G39460/AT5G44650/AT5G58140/AT1G69200/AT3G29185/AT1G35680/AT2G24060/AT3G02380/AT2G37860/AT2G30040/AT5G40270/AT2G16365/AT5G46290/AT1G74730/AT2G25625/AT1G09340/AT4G04850/AT1G64810/AT3G56290/AT5G26742/AT2G30950/AT5G24314/AT3G04340/AT2G36000/AT5G18570/AT4G38470/AT1G50900/AT3G23400/AT1G45230/AT4G28740/AT4G22260/AT5G58650/AT3G05710/AT5G48470/AT3G25690/AT5G67385/AT4G09620/AT1G66840/AT1G62750/AT4G01150/AT5G64050/AT3G58830/AT5G62440/AT2G38370/AT1G20830/AT2G26570/AT4G38160/AT3G10350/AT3G19720/AT1G08540/AT2G28000/AT5G22640/AT5G15450/AT2G32480/AT1G75010/AT4G23940/AT3G23020/AT4G35780/AT2G31840/AT3G63190/AT4G34090/AT4G33460/AT1G75100/AT1G21600/AT5G07900/AT1G63900/AT1G58200/AT4G01940/AT4G34020/AT4G26150/AT1G32080/AT2G40480/AT2G41660/AT3G46630/AT2G34620/AT1G79600/AT5G02250/AT1G11870/AT5G17790/AT5G65460/AT5G14100/AT2G30520/AT5G61670/AT5G51020/AT2G31040/AT3G48870/AT1G68050/AT1G42550/AT3G56940/AT1G64500/AT2G46820/AT2G04270/AT5G08050/AT4G37920/AT5G21920/AT2G36250/AT1G12410/AT4G25910/AT4G14605/AT5G59220/AT1G69390/AT3G63140/AT5G55280/AT2G46340/AT4G28590/AT4G19650/AT3G45780/AT2G47940/AT5G24120/AT2G20570/AT2G43090/AT1G44000/AT2G16070/AT4G20360/AT2G16800/AT4G27670/AT5G13770/AT1G28530/AT4G31390/AT3G46740/AT1G10430/AT5G56860/AT3G62910/AT4G16390",129
"GO:0032787","monocarboxylic acid metabolic process","199/5040","486/21006",0.409465020576132,1.70659171075838,8.85475487939923,4.93279172497507e-17,1.714967256383e-14,1.42140905821626e-14,"AT2G46370/AT1G08510/AT2G13560/AT1G19440/AT3G55440/AT4G10490/AT2G22480/AT2G45970/AT1G28380/AT2G21330/AT1G49430/AT2G22780/AT3G26744/AT1G61850/AT4G24230/AT3G51840/AT2G37040/AT4G17260/AT1G11600/AT5G09660/AT5G46290/AT3G23790/AT1G52340/AT1G55020/AT3G06810/AT2G23610/AT4G36830/AT1G73805/AT2G33150/AT5G63450/AT1G15780/AT3G25780/AT3G55360/AT2G43710/AT3G15850/AT5G42740/AT5G52810/AT5G43280/AT5G62570/AT2G05990/AT4G29010/AT1G75000/AT4G08850/AT1G43800/AT3G48430/AT1G67560/AT5G56350/AT4G23850/AT4G26270/AT3G23840/AT3G15690/AT3G10850/AT1G74030/AT4G26530/AT4G16760/AT1G09020/AT5G52920/AT3G05290/AT4G30440/AT3G22960/AT1G16060/AT5G42650/AT1G20510/AT3G05970/AT1G74960/AT3G01420/AT4G14430/AT5G57580/AT4G39660/AT2G22230/AT5G35360/AT5G65110/AT1G17420/AT3G10870/AT3G52990/AT4G05530/AT2G47240/AT3G29770/AT2G32720/AT5G16390/AT1G10670/AT4G16800/AT5G08415/AT1G62640/AT2G34590/AT1G22640/AT3G47860/AT3G53140/AT4G25050/AT3G06470/AT2G23620/AT1G65690/AT3G06350/AT1G36160/AT4G05160/AT4G00570/AT1G07240/AT2G18950/AT1G01090/AT1G79750/AT2G36460/AT1G02860/AT5G63380/AT3G14440/AT5G57590/AT3G48460/AT5G40770/AT2G21940/AT2G44620/AT1G48030/AT2G45690/AT1G05680/AT1G06130/AT3G62130/AT5G51830/AT3G48990/AT1G63900/AT2G26250/AT2G29090/AT1G68530/AT1G01120/AT1G13280/AT5G08520/AT5G05580/AT4G15530/AT1G22170/AT5G54080/AT5G45550/AT2G03440/AT2G36580/AT1G72970/AT5G03860/AT1G47840/AT1G10170/AT4G38970/AT1G24360/AT1G16540/AT4G32770/AT2G04350/AT5G04660/AT1G19640/AT5G25880/AT5G61580/AT2G43840/AT3G06860/AT4G09900/AT5G43430/AT1G66430/AT1G50940/AT1G07260/AT1G67280/AT4G00360/AT2G27150/AT4G19230/AT5G10480/AT1G67730/AT4G30950/AT5G47120/AT1G19250/AT1G08980/AT5G24530/AT3G09830/AT3G45140/AT1G11840/AT1G13440/AT4G39950/AT3G04120/AT5G67030/AT4G31500/AT2G45670/AT3G52430/AT1G79440/AT3G53480/AT3G06483/AT5G65940/AT2G13810/AT3G16950/AT4G33950/AT5G04620/AT2G34770/AT2G06050/AT2G24300/AT5G26920/AT5G07010/AT4G15440/AT5G04760/AT1G10430/AT4G18780/AT1G29690/AT4G14070/AT1G67080/AT2G04240/AT4G24510/AT4G24670/AT1G76690/AT1G56190/AT1G77590/AT3G58750/AT5G11630",199
"GO:0009409","response to cold","184/5040","440/21006",0.418181818181818,1.74292207792208,8.84857295585836,6.2108249757385e-17,1.85082584277007e-14,1.53401215580211e-14,"AT1G53240/AT3G55580/AT5G05220/AT3G26420/AT5G54770/AT2G20180/AT5G61410/AT3G23000/AT5G20720/AT5G64220/AT4G34710/AT5G50720/AT5G20250/AT3G26744/AT4G24540/AT3G01500/AT5G52370/AT3G54890/AT5G01600/AT1G77030/AT1G74520/AT2G01918/AT5G47230/AT5G65020/AT5G11790/AT1G09530/AT4G01370/AT4G35300/AT1G09340/AT3G23250/AT4G35090/AT1G32060/AT5G58070/AT2G01570/AT1G16880/AT4G17090/AT2G47730/AT1G50460/AT5G63770/AT4G20260/AT1G27730/AT4G36930/AT3G61350/AT4G22950/AT3G61580/AT2G28900/AT1G33410/AT4G27310/AT1G76180/AT1G01140/AT2G45660/AT2G19450/AT1G22770/AT3G53990/AT1G01860/AT5G13650/AT4G08500/AT2G22300/AT3G49260/AT2G37770/AT5G63320/AT5G52440/AT1G05260/AT3G08720/AT4G04920/AT2G31180/AT2G33800/AT3G08920/AT1G74960/AT2G26640/AT4G37930/AT1G16390/AT5G62390/AT5G57560/AT1G77120/AT3G14080/AT5G38820/AT1G56070/AT5G61030/AT3G22840/AT1G67090/AT5G12250/AT5G65430/AT3G56200/AT1G36160/AT5G54470/AT3G47470/AT5G24090/AT1G11760/AT3G02870/AT5G53470/AT3G48360/AT4G11070/AT4G35790/AT4G02380/AT2G39730/AT4G17615/AT5G54590/AT1G78080/AT5G12380/AT3G17020/AT5G06290/AT2G26250/AT5G51820/AT4G10030/AT4G30200/AT1G68530/AT4G31120/AT1G01120/AT1G70200/AT4G15910/AT1G32070/AT1G08810/AT1G12610/AT2G17840/AT3G53600/AT2G03440/AT1G16670/AT4G38840/AT3G22330/AT3G59770/AT3G02130/AT1G20823/AT1G09570/AT2G36400/AT2G47180/AT1G71730/AT1G16540/AT1G61520/AT3G48750/AT3G17390/AT1G13980/AT4G24770/AT1G18740/AT1G01060/AT3G55990/AT1G28520/AT2G22840/AT3G22370/AT3G03050/AT1G49230/AT2G42200/AT1G67280/AT5G40010/AT3G11410/AT1G80820/AT1G68090/AT2G35040/AT5G49510/AT2G40140/AT4G29810/AT1G23740/AT5G06760/AT1G42970/AT2G28200/AT2G17870/AT4G26080/AT1G46768/AT1G15520/AT5G58770/AT4G02330/AT3G55280/AT2G21660/AT1G79440/AT2G05100/AT5G65940/AT2G38470/AT3G61950/AT3G61470/AT4G09650/AT5G58940/AT5G04530/AT3G52150/AT2G43010/AT3G45640/AT2G36640/AT3G21300/AT3G11630/AT1G45474/AT2G37220/AT2G38750/AT3G54050/AT2G25930/AT5G59010",184
"GO:0009414","response to water deprivation","189/5040","461/21006",0.40997830802603,1.70873101952278,8.64484836303606,2.62175381946784e-16,6.83622308426238e-14,5.66603786736528e-14,"AT1G10370/AT1G19020/AT5G61590/AT5G25610/AT5G50720/AT1G47128/AT5G44650/AT3G29320/AT5G58430/AT5G14420/AT1G18390/AT3G56580/AT1G45249/AT2G37040/AT5G67300/AT5G65730/AT1G74520/AT5G65020/AT4G35300/AT3G63520/AT2G30980/AT2G25625/AT1G09340/AT1G01620/AT1G52340/AT3G23250/AT1G07200/AT2G22430/AT5G58070/AT2G21620/AT4G32551/AT1G19490/AT4G20260/AT3G03740/AT1G27730/AT5G11270/AT3G61050/AT1G76080/AT1G76180/AT2G17820/AT3G05700/AT1G64660/AT1G75380/AT1G78380/AT5G13750/AT2G39800/AT4G23400/AT2G33700/AT3G18490/AT2G37770/AT2G05620/AT5G52440/AT1G59870/AT1G31690/AT1G05260/AT3G26090/AT1G16060/AT5G25620/AT2G32150/AT5G08120/AT2G04030/AT5G12290/AT3G23050/AT4G34240/AT4G14540/AT1G69310/AT1G77120/AT2G41870/AT3G14080/AT5G38820/AT3G17000/AT3G06190/AT3G47860/AT3G46970/AT2G25170/AT1G54100/AT1G22810/AT3G56200/AT1G07240/AT5G24090/AT4G34220/AT3G16857/AT2G25180/AT3G14440/AT1G15690/AT2G41430/AT5G26340/AT2G33590/AT5G05410/AT4G02380/AT1G05680/AT2G44060/AT5G38710/AT4G17615/AT1G78080/AT4G00430/AT5G12380/AT1G44170/AT1G32080/AT5G56030/AT1G08720/AT2G30580/AT5G05690/AT2G46680/AT4G15910/AT5G08520/AT1G08810/AT1G79600/AT3G56400/AT4G27410/AT1G12610/AT4G39090/AT3G47600/AT2G17840/AT3G53600/AT3G02130/AT1G67360/AT3G12630/AT2G47180/AT2G20890/AT5G24030/AT5G27930/AT1G01470/AT2G37170/AT1G28520/AT5G66880/AT1G02205/AT1G49230/AT2G01830/AT1G12110/AT5G40010/AT1G62660/AT2G26650/AT3G11410/AT4G34890/AT1G68090/AT3G17410/AT1G68010/AT1G58440/AT5G47120/AT5G06760/AT2G47800/AT2G33860/AT5G59220/AT3G45140/AT3G22380/AT4G39950/AT3G53420/AT1G46768/AT5G67030/AT1G15520/AT2G31650/AT2G18960/AT3G24500/AT1G32640/AT2G21660/AT2G35930/AT2G05100/AT4G08920/AT4G33950/AT2G38470/AT3G05500/AT1G15360/AT1G68820/AT5G56550/AT4G39400/AT4G30960/AT4G24190/AT3G52150/AT5G26920/AT4G02280/AT1G60200/AT3G11130/AT1G51140/AT4G11280/AT4G31390/AT4G37790/AT2G38750/AT1G61660/AT5G59550/AT4G18780/AT1G31710/AT3G52450/AT1G13740/AT5G06530/AT1G62280/AT5G40390/AT1G02730/AT3G02480",189
"GO:0009415","response to water","193/5040","475/21006",0.406315789473684,1.69346616541353,8.58905885095248,3.76163770054495e-16,8.7186402703742e-14,7.2262337426641e-14,"AT1G10370/AT1G19020/AT5G61590/AT5G25610/AT5G50720/AT1G47128/AT5G44650/AT3G29320/AT5G58430/AT5G14420/AT1G18390/AT3G56580/AT1G45249/AT2G37040/AT5G67300/AT5G65730/AT3G04070/AT1G74520/AT5G65020/AT4G35300/AT3G63520/AT2G30980/AT2G25625/AT1G09340/AT1G01620/AT1G52340/AT3G23250/AT1G07200/AT2G22430/AT5G58070/AT2G21620/AT4G32551/AT1G19490/AT4G20260/AT3G03740/AT1G27730/AT5G11270/AT3G61050/AT1G76080/AT1G76180/AT2G17820/AT3G05700/AT3G24140/AT1G64660/AT1G75380/AT1G78380/AT5G13750/AT2G39800/AT4G23400/AT2G33700/AT3G18490/AT2G37770/AT2G05620/AT5G52440/AT1G59870/AT1G31690/AT1G05260/AT3G26090/AT1G16060/AT5G25620/AT2G32150/AT5G08120/AT2G04030/AT5G12290/AT3G23050/AT4G34240/AT4G14540/AT1G69310/AT1G77120/AT2G41870/AT3G14080/AT5G38820/AT3G17000/AT3G06190/AT3G47860/AT3G46970/AT2G25170/AT1G54100/AT1G22810/AT3G56200/AT1G07240/AT5G24090/AT4G34220/AT3G16857/AT2G25180/AT3G14440/AT1G15690/AT2G41430/AT5G26340/AT2G33590/AT5G05410/AT4G02380/AT1G05680/AT2G44060/AT5G38710/AT4G17615/AT1G78080/AT4G00430/AT5G12380/AT1G44170/AT1G32080/AT5G56030/AT1G08720/AT2G30580/AT5G05690/AT2G46680/AT4G15910/AT5G08520/AT1G08810/AT1G79600/AT3G56400/AT4G27410/AT1G12610/AT4G39090/AT3G47600/AT2G17840/AT3G53600/AT3G02130/AT1G67360/AT3G12630/AT2G47180/AT2G20890/AT5G24030/AT5G27930/AT1G01470/AT2G37170/AT1G28520/AT5G66880/AT1G02205/AT1G49230/AT2G01830/AT1G12110/AT5G61900/AT5G40010/AT1G62660/AT2G26650/AT3G11410/AT4G34890/AT1G68090/AT3G17410/AT1G68010/AT1G58440/AT5G47120/AT5G06760/AT2G47800/AT2G33860/AT5G59220/AT3G45140/AT3G22380/AT4G39950/AT3G53420/AT1G46768/AT5G67030/AT1G15520/AT4G28300/AT2G31650/AT2G18960/AT3G24500/AT1G32640/AT2G21660/AT2G35930/AT2G05100/AT4G08920/AT4G33950/AT2G38470/AT3G05500/AT1G15360/AT1G68820/AT5G56550/AT4G39400/AT4G30960/AT4G24190/AT3G52150/AT5G26920/AT4G02280/AT1G60200/AT3G11130/AT1G51140/AT4G11280/AT4G31390/AT4G37790/AT2G38750/AT1G61660/AT5G59550/AT4G18780/AT1G31710/AT3G52450/AT1G13740/AT5G06530/AT1G62280/AT5G40390/AT1G02730/AT3G02480",193
"GO:0009611","response to wounding","126/5040","274/21006",0.45985401459854,1.91660583941606,8.5805642915126,1.06713532064991e-15,2.22604427887572e-13,1.84500286533622e-13,"AT2G46370/AT4G39980/AT1G19020/AT3G13790/AT4G34710/AT2G32800/AT3G14840/AT1G80840/AT3G51480/AT2G37040/AT1G04220/AT4G01370/AT1G09340/AT1G55020/AT2G33150/AT5G50200/AT5G63450/AT5G63770/AT4G32551/AT1G27730/AT3G17860/AT2G20340/AT2G28900/AT1G01140/AT1G73260/AT1G67560/AT1G61340/AT4G08500/AT3G24550/AT1G51680/AT1G76650/AT4G16760/AT1G31690/AT5G42650/AT1G20510/AT3G14050/AT3G23050/AT1G17420/AT3G54420/AT4G20140/AT1G80440/AT1G73500/AT5G11090/AT3G44260/AT5G53750/AT1G22640/AT1G72450/AT1G17750/AT2G30020/AT2G46970/AT5G56960/AT5G09810/AT5G24090/AT3G16857/AT5G47010/AT2G25180/AT4G32940/AT3G48360/AT5G20900/AT5G46050/AT2G26690/AT3G25230/AT1G73080/AT1G78080/AT2G30490/AT5G63970/AT1G19220/AT2G38870/AT5G13930/AT2G02990/AT3G53260/AT4G38130/AT1G72300/AT2G23380/AT5G67480/AT3G44540/AT3G53600/AT1G49570/AT4G22880/AT5G53890/AT1G19640/AT2G27690/AT1G51400/AT1G01470/AT2G02860/AT5G54640/AT1G02205/AT5G47240/AT1G55480/AT2G28290/AT4G02260/AT4G16740/AT5G64930/AT3G61060/AT4G21670/AT2G47800/AT3G45140/AT2G47260/AT1G66340/AT2G14580/AT4G02020/AT1G51760/AT1G19180/AT1G72920/AT5G14780/AT1G32640/AT3G51450/AT1G17840/AT5G56550/AT4G26640/AT2G06050/AT5G48150/AT4G32570/AT3G45640/AT4G15800/AT2G42490/AT3G58760/AT4G24220/AT4G15440/AT4G11280/AT4G34190/AT1G31710/AT4G17980/AT1G76690/AT1G01720/AT3G11480",126
