"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005768","endosome","104/2886","424/26691",0.245283018867925,2.26848546659867,9.16751320867723,5.90548209442137e-16,2.16731192865264e-13,2.16731192865264e-13,"AT1G73030/AT4G30440/AT2G01690/AT3G28480/AT4G29140/AT2G17990/AT3G14270/AT1G48790/AT1G30450/AT5G41610/AT2G43070/AT4G38040/AT1G05150/AT3G12400/AT3G49720/AT3G10640/AT5G20650/AT5G53330/AT5G14740/AT1G78240/AT4G21700/AT2G20370/AT1G08030/AT3G55830/AT3G29100/AT1G15690/AT1G53840/AT1G06890/AT2G43160/AT1G06400/AT5G05190/AT5G43100/AT5G64030/AT4G00750/AT4G33430/AT5G54590/AT1G08720/AT3G62370/AT5G45130/AT5G18280/AT2G22900/AT4G08500/AT1G74380/AT1G51590/AT5G06700/AT4G02500/AT2G36900/AT3G25140/AT1G51540/AT5G46330/AT5G60860/AT1G27930/AT2G06530/AT1G03060/AT4G16120/AT3G12160/AT1G08190/AT1G08660/AT1G04750/AT3G53120/AT5G65270/AT3G17440/AT5G54830/AT4G02030/AT2G45990/AT5G45550/AT4G01210/AT3G05710/AT2G35100/AT5G20350/AT2G38120/AT4G19040/AT3G03050/AT1G22870/AT5G44790/AT2G33120/AT5G61840/AT2G47650/AT1G31850/AT5G44240/AT3G46540/AT5G13500/AT5G05170/AT5G44560/AT5G22950/AT3G02350/AT5G42050/AT1G10600/AT2G28250/AT3G60860/AT1G20270/AT5G18480/AT5G18525/AT2G40280/AT1G71010/AT3G60800/AT3G28430/AT1G69220/AT1G15960/AT4G29950/AT3G57880/AT1G03950/AT4G19640/AT4G26750",104
"GO:0005802","trans-Golgi network","61/2886","303/26691",0.201320132013201,1.86189731239236,5.25365996583037,1.23676405711817e-06,0.000226946204481183,0.000226946204481183,"AT4G30440/AT3G28480/AT1G47240/AT1G30450/AT4G38040/AT1G05150/AT4G32272/AT3G49720/AT1G78240/AT4G21700/AT2G20370/AT1G08030/AT3G55830/AT1G53840/AT1G06890/AT5G43100/AT5G64030/AT4G00750/AT3G54020/AT1G08720/AT3G62370/AT5G18280/AT2G22900/AT1G74380/AT1G51590/AT5G06700/AT4G02500/AT3G25140/AT1G51540/AT1G27930/AT5G35730/AT3G11820/AT4G16120/AT1G08660/AT5G54830/AT4G02030/AT5G45550/AT4G01210/AT1G45688/AT3G05710/AT2G35100/AT5G20350/AT3G03050/AT1G22870/AT5G44790/AT1G02130/AT5G61840/AT2G47650/AT1G31850/AT5G44240/AT5G13500/AT5G05170/AT2G39060/AT3G02350/AT3G60860/AT1G20270/AT5G18480/AT2G40280/AT4G38200/AT3G60800/AT1G69220",61
"GO:0098791","Golgi apparatus subcompartment","70/2886","383/26691",0.182767624020888,1.69031554149048,4.73796096984029,7.89792923102308e-06,0.000744381380188109,0.000744381380188109,"AT4G30440/AT3G28480/AT1G47240/AT1G30450/AT4G38040/AT1G05150/AT4G32272/AT3G49720/AT1G78240/AT4G21700/AT2G20370/AT1G08030/AT3G55830/AT1G15880/AT1G53840/AT1G06890/AT5G43100/AT5G64030/AT4G00750/AT3G54020/AT5G01710/AT1G08720/AT3G62370/AT5G18280/AT2G22900/AT1G74380/AT1G51590/AT5G06700/AT4G02500/AT2G36900/AT3G25140/AT1G51540/AT1G27930/AT2G15730/AT5G35730/AT3G11820/AT4G16120/AT1G08660/AT1G27200/AT5G47780/AT5G54830/AT1G71990/AT4G02030/AT5G45550/AT4G01210/AT1G45688/AT3G05710/AT2G35100/AT5G20350/AT3G03050/AT1G22870/AT5G18850/AT5G44790/AT1G02130/AT5G61840/AT2G47650/AT1G31850/AT5G44240/AT5G13500/AT5G05170/AT2G39060/AT3G02350/AT3G60860/AT1G20270/AT5G18480/AT2G47770/AT2G40280/AT4G38200/AT3G60800/AT1G69220",70
"GO:0010008","endosome membrane","23/2886","80/26691",0.2875,2.65892671517672,5.17404205548481,8.11314855790854e-06,0.000744381380188109,0.000744381380188109,"AT1G73030/AT2G01690/AT4G29140/AT2G17990/AT3G14270/AT3G12400/AT5G53330/AT3G29100/AT1G15690/AT5G54590/AT2G36900/AT2G06530/AT3G53120/AT3G17440/AT4G19040/AT1G22870/AT5G44560/AT5G22950/AT2G28250/AT1G71010/AT1G15960/AT4G29950/AT1G03950",23
"GO:0012506","vesicle membrane","34/2886","147/26691",0.231292517006803,2.13909513909514,4.82196261547409,1.37728786306051e-05,0.00101092929148642,0.00101092929148642,"AT1G73030/AT2G01690/AT4G29140/AT2G17990/AT3G14270/AT2G43070/AT3G12400/AT1G01650/AT5G53330/AT3G29100/AT1G15690/AT2G43160/AT5G54590/AT1G08720/AT1G79990/AT5G47490/AT2G36900/AT2G06530/AT3G53120/AT3G17440/AT5G64070/AT4G19040/AT1G22870/AT1G70940/AT3G46540/AT5G44560/AT5G22950/AT2G39060/AT2G28250/AT1G71010/AT2G27460/AT1G15960/AT4G29950/AT1G03950",34
"GO:0030659","cytoplasmic vesicle membrane","32/2886","143/26691",0.223776223776224,2.06958114650422,4.46533669017752,4.86101333251794e-05,0.00297331982172347,0.00297331982172347,"AT1G73030/AT2G01690/AT4G29140/AT2G17990/AT3G14270/AT2G43070/AT3G12400/AT1G01650/AT5G53330/AT3G29100/AT1G15690/AT2G43160/AT5G54590/AT1G08720/AT1G79990/AT5G47490/AT2G36900/AT2G06530/AT3G53120/AT3G17440/AT5G64070/AT4G19040/AT1G22870/AT3G46540/AT5G44560/AT5G22950/AT2G28250/AT1G71010/AT2G27460/AT1G15960/AT4G29950/AT1G03950",32
"GO:0005770","late endosome","19/2886","71/26691",0.267605633802817,2.47493484817428,4.33297659288155,0.000140300042375388,0.00735573079310962,0.00735573079310962,"AT1G73030/AT4G29140/AT2G17990/AT5G41610/AT3G12400/AT3G10640/AT5G20650/AT3G29100/AT2G36900/AT2G06530/AT1G08190/AT3G17440/AT1G22870/AT5G44560/AT5G22950/AT5G18525/AT3G28430/AT1G03950/AT4G26750",19
"GO:0005774","vacuolar membrane","40/2886","218/26691",0.18348623853211,1.69696160521849,3.59769115404214,0.000587143139940981,0.0251890723386912,0.0251890723386912,"AT2G46800/AT2G36830/AT2G01690/AT2G43330/AT2G43070/AT4G33000/AT4G18160/AT1G62040/AT5G49890/AT2G25680/AT1G01650/AT1G80510/AT3G29100/AT5G13750/AT1G15690/AT4G16520/AT4G21540/AT1G16390/AT5G45130/AT4G21790/AT1G53210/AT3G06420/AT1G75220/AT5G03570/AT1G08190/AT2G41560/AT5G45550/AT1G69840/AT3G13080/AT2G05630/AT5G58320/AT2G38310/AT5G13740/AT5G46610/AT3G15580/AT3G03720/AT5G13930/AT3G51490/AT4G39080/AT1G77220",40
"GO:0043230","extracellular organelle","6/2886","12/26691",0.5,4.62422037422037,4.37228843731916,0.000823620893908161,0.0251890723386912,0.0251890723386912,"AT5G58430/AT4G01850/AT2G23810/AT5G61010/AT4G02350/AT1G47550",6
"GO:0065010","extracellular membrane-bounded organelle","6/2886","12/26691",0.5,4.62422037422037,4.37228843731916,0.000823620893908161,0.0251890723386912,0.0251890723386912,"AT5G58430/AT4G01850/AT2G23810/AT5G61010/AT4G02350/AT1G47550",6
