"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","structural constituent of ribosome","95/3296","298/26512",0.318791946308725,2.56426337394931,10.2320892596894,7.63504770476924e-19,5.87135168496755e-16,5.87135168496755e-16,"AT1G07830/AT3G45030/AT5G56710/AT2G42710/AT3G05590/AT5G02450/AT4G37660/AT1G75350/AT3G10090/AT2G04390/AT2G34480/AT4G00100/AT5G17870/AT4G27090/AT1G67430/AT5G30510/AT5G40950/AT3G09630/AT2G09990/AT3G52580/AT5G48760/AT3G10950/AT5G39740/AT5G27330/AT3G02080/AT3G49910/AT5G27700/AT4G15000/AT1G26740/AT3G49010/AT4G01310/AT4G02230/AT3G04770/AT1G07210/AT5G35530/AT3G48930/AT4G36130/AT5G09510/AT5G02960/AT2G32060/AT5G04800/AT3G22230/AT4G28360/AT1G74270/AT2G17360/AT4G34555/AT5G54600/AT4G30930/AT2G37270/AT1G64880/AT3G63490/AT1G36240/AT3G27850/AT3G54210/AT3G61110/AT3G09500/AT5G65220/AT4G25740/AT4G29430/AT3G18760/AT1G26880/AT5G20180/AT1G68590/AT2G42740/AT5G59240/AT3G47370/AT3G13580/AT3G04920/AT2G37190/AT2G33800/AT1G74050/AT1G31817/AT1G74970/AT4G17390/AT3G49080/AT5G58420/AT2G24090/AT3G13882/AT5G39850/AT3G04400/AT3G52590/AT3G05560/AT3G09200/AT1G70600/AT5G24510/AT3G55280/AT1G07770/AT5G13510/AT1G43170/AT5G10360/AT1G07320/AT4G14320/AT5G66860/AT2G20450/AT1G02780",95
"GO:0005198","structural molecule activity","111/3296","442/26512",0.251131221719457,2.02002152616087,8.14822316381298,1.68656639066596e-13,6.48484777211061e-11,6.48484777211061e-11,"AT1G07830/AT3G45030/AT5G56710/AT2G42710/AT3G05590/AT5G02450/AT4G31480/AT4G37660/AT1G75350/AT3G10090/AT1G20696/AT2G04390/AT2G34480/AT4G00100/AT5G17870/AT4G27090/AT1G67430/AT5G30510/AT5G40950/AT3G09630/AT2G09990/AT3G52580/AT5G48760/AT3G10950/AT4G37130/AT5G39740/AT5G27330/AT3G02080/AT2G37620/AT3G49910/AT5G19770/AT5G27700/AT4G15000/AT1G26740/AT3G49010/AT4G01310/AT4G02230/AT3G04770/AT5G12250/AT1G07210/AT5G35530/AT5G59970/AT3G48930/AT4G36130/AT1G64350/AT5G09510/AT5G02960/AT2G32060/AT2G45000/AT5G04800/AT3G22230/AT4G28360/AT1G74270/AT2G17360/AT4G34555/AT3G11130/AT5G54600/AT4G30930/AT2G37270/AT1G64880/AT3G63490/AT1G36240/AT3G27850/AT5G23860/AT3G54210/AT3G61110/AT3G09500/AT5G65220/AT4G25740/AT4G29430/AT3G18760/AT1G26880/AT5G20180/AT1G68590/AT2G42740/AT5G59240/AT3G12110/AT3G47370/AT3G13580/AT3G04920/AT2G37190/AT2G33800/AT1G74050/AT1G26770/AT1G31817/AT1G74970/AT4G17390/AT3G49080/AT5G09810/AT5G58420/AT2G24090/AT3G13882/AT5G39850/AT3G04400/AT3G52590/AT3G05560/AT3G09200/AT1G70600/AT5G24510/AT3G55280/AT4G25910/AT3G07390/AT1G07770/AT5G13510/AT1G43170/AT5G10360/AT1G07320/AT4G14320/AT5G66860/AT2G20450/AT1G02780",111
"GO:0016853","isomerase activity","101/3296","460/26512",0.219565217391304,1.76611439425918,6.24546763529503,6.372283485277e-09,1.633428666726e-06,1.633428666726e-06,"AT3G58570/AT3G10060/AT3G18600/AT4G16630/AT3G10230/AT3G44600/AT1G59990/AT1G18170/AT5G57170/AT1G26940/AT1G77030/AT4G39710/AT1G18870/AT3G17360/AT1G21750/AT3G45850/AT3G16630/AT5G42150/AT2G16440/AT1G01950/AT5G48580/AT3G20780/AT1G65520/AT5G47010/AT5G46280/AT2G43560/AT2G21300/AT3G55340/AT5G01650/AT1G55150/AT2G25170/AT2G38730/AT1G74070/AT5G47820/AT3G16060/AT2G07050/AT3G62030/AT5G51820/AT3G01480/AT2G39080/AT2G39140/AT4G18465/AT3G09720/AT5G60640/AT5G63630/AT5G61410/AT1G63000/AT5G33300/AT3G10270/AT5G65930/AT5G44520/AT1G30680/AT5G28840/AT3G22330/AT1G55370/AT4G01020/AT3G06980/AT5G14460/AT5G49970/AT5G35970/AT3G57150/AT5G42740/AT5G67630/AT5G45680/AT1G20050/AT5G05450/AT1G64680/AT2G36130/AT3G04880/AT1G13280/AT1G20810/AT3G61610/AT3G18610/AT3G02780/AT2G30320/AT2G22240/AT3G25760/AT5G54910/AT3G56070/AT1G12430/AT4G15850/AT1G20720/AT1G75690/AT1G64770/AT1G24290/AT5G58710/AT4G31210/AT2G21380/AT5G13410/AT4G38740/AT5G54670/AT5G55220/AT5G10170/AT5G27950/AT1G33390/AT1G26370/AT1G80350/AT1G10830/AT1G16280/AT3G55120/AT4G25340",101
"GO:0016168","chlorophyll binding","13/3296","21/26512",0.619047619047619,4.97942672214517,6.87375330973349,1.2735721393315e-07,2.0744031884572e-05,2.0744031884572e-05,"AT3G54890/AT2G05100/AT4G34190/AT1G29930/AT2G40100/AT1G44575/AT4G10340/AT3G47470/AT3G08940/AT1G76570/AT3G61470/AT1G61520/AT1G15820",13
"GO:0042802","identical protein binding","90/3296","420/26512",0.214285714285714,1.72364771151179,5.63262854961815,1.34876670250794e-07,2.0744031884572e-05,2.0744031884572e-05,"AT4G30520/AT2G22640/AT5G58040/AT2G42870/AT5G47110/AT3G27925/AT5G58140/AT2G47450/AT3G06930/AT3G49250/AT5G01600/AT5G24020/AT5G16530/AT4G39400/AT3G17860/AT4G29080/AT3G01470/AT3G47430/AT4G24660/AT1G71830/AT4G17600/AT2G32950/AT4G08920/AT5G56040/AT5G54770/AT1G36390/AT3G20780/AT5G43700/AT1G62360/AT5G12330/AT1G17455/AT5G38530/AT3G28920/AT1G73590/AT3G15354/AT2G04030/AT2G21280/AT5G35750/AT2G01760/AT3G13222/AT2G30490/AT1G51600/AT2G28900/AT1G17840/AT5G65930/AT2G13560/AT5G01410/AT3G04730/AT1G14440/AT2G35240/AT1G11430/AT2G27230/AT3G61950/AT1G69390/AT4G22890/AT1G04240/AT2G44050/AT2G37630/AT5G15100/AT4G31590/AT1G26110/AT1G01760/AT3G06483/AT2G33550/AT4G23750/AT4G15560/AT3G15000/AT3G19720/AT3G59420/AT3G45780/AT1G80560/AT2G38310/AT3G50930/AT2G35940/AT5G55280/AT3G15540/AT4G00570/AT3G16240/AT3G17880/AT1G78590/AT3G42960/AT1G48480/AT2G43950/AT1G70940/AT2G46340/AT2G40890/AT5G65700/AT1G51140/AT3G01680/AT2G28150",90
"GO:0019843","rRNA binding","23/3296","63/26512",0.365079365079365,2.93658498998305,5.79849339314717,8.69971721428977e-07,0.000111501375629814,0.000111501375629814,"AT1G06190/AT4G00100/AT5G17870/AT4G16390/AT1G11240/AT5G46580/AT5G39740/AT3G23620/AT1G07210/AT1G72050/AT2G37270/AT3G18760/AT2G48120/AT1G08845/AT1G67440/AT2G37190/AT5G39850/AT2G40430/AT3G09200/AT1G52930/AT5G66470/AT5G66860/AT3G57000",23
"GO:0140098","catalytic activity, acting on RNA","98/3296","489/26512",0.20040899795501,1.61202771656045,5.14706671811834,1.01957333660953e-06,0.000112007413693246,0.000112007413693246,"AT3G58570/AT2G25870/AT3G18600/AT1G30460/AT4G16630/AT3G07420/AT5G15700/AT1G59990/AT2G36990/AT1G36310/AT4G10320/AT3G25660/AT2G25100/AT2G22400/AT5G45140/AT1G77030/AT5G22800/AT5G67220/AT5G41190/AT3G03710/AT3G59600/AT2G04270/AT4G15520/AT4G25630/AT5G46580/AT2G39740/AT3G04720/AT5G47010/AT3G63510/AT1G68990/AT3G55340/AT1G55150/AT3G56120/AT1G48520/AT1G24450/AT5G26830/AT2G03780/AT2G32230/AT4G20910/AT2G45330/AT4G17300/AT5G10910/AT5G01780/AT4G25730/AT2G31170/AT4G36390/AT5G24120/AT3G13180/AT4G34412/AT3G09720/AT5G15390/AT5G63630/AT3G02660/AT4G02940/AT1G69440/AT1G64860/AT1G30680/AT4G26600/AT2G04530/AT3G22330/AT4G37510/AT3G06980/AT3G03300/AT5G26110/AT4G29090/AT3G53920/AT4G38890/AT5G20320/AT5G05450/AT5G13730/AT5G16870/AT1G01760/AT5G49030/AT1G08540/AT5G26180/AT3G18610/AT5G63420/AT3G23780/AT1G11870/AT5G16715/AT5G54910/AT4G15850/AT3G13740/AT4G22720/AT3G28460/AT5G14580/AT5G14600/AT5G20040/AT1G58290/AT1G60620/AT5G02250/AT1G55870/AT4G33760/AT1G29940/AT2G47300/AT1G16280/AT5G43810/AT3G57000",98
"GO:0051082","unfolded protein binding","26/3296","81/26512",0.320987654320988,2.58192496703824,5.3726005394941,2.93234601437993e-06,0.00028187176063227,0.00028187176063227,"AT1G14980/AT3G12390/AT4G10250/AT5G59610/AT2G22360/AT1G36390/AT5G23290/AT4G18810/AT1G24510/AT5G18140/AT4G26780/AT4G21870/AT2G04030/AT1G80030/AT3G13222/AT1G71220/AT3G07770/AT3G20050/AT3G49470/AT4G24190/AT3G02530/AT3G03960/AT3G11830/AT5G20890/AT5G26360/AT1G17350",26
"GO:0016859","cis-trans isomerase activity","22/3296","63/26512",0.349206349206349,2.80890738172292,5.41620303575072,3.52660238775709e-06,0.000296226908681146,0.000296226908681146,"AT3G10060/AT3G44600/AT1G18170/AT1G26940/AT4G39710/AT5G48580/AT2G43560/AT2G38730/AT1G74070/AT3G62030/AT3G01480/AT5G45680/AT1G64680/AT2G36130/AT1G20810/AT3G56070/AT5G58710/AT5G13410/AT4G38740/AT5G55220/AT1G10830/AT4G25340",22
"GO:0016628","oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor","19/3296","50/26512",0.38,3.05660194174757,5.4844978421575,3.85210544448824e-06,0.000296226908681146,0.000296226908681146,"AT3G52940/AT5G67220/AT5G54190/AT5G34930/AT1G06620/AT5G52100/AT2G05990/AT3G63510/AT2G06050/AT1G76690/AT3G19820/AT4G24220/AT5G18660/AT3G59890/AT4G38890/AT1G23740/AT3G03080/AT3G55360/AT1G74470",19
