"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","ath01200","Carbon metabolism","108/1512","275/6356",0.392727272727273,1.65090909090909,6.16496745305427,3.69458524252633e-09,5.06158178226107e-07,5.06158178226107e-07,"AT3G52990/AT5G47760/AT3G54050/AT5G09660/AT2G44160/AT1G22170/AT4G37560/AT1G32060/AT1G56190/AT2G22480/AT5G16390/AT1G53310/AT5G36700/AT1G43670/AT2G20420/AT2G14170/AT1G79750/AT2G30970/AT5G42250/AT4G34200/AT3G61440/AT2G30650/AT1G20630/AT2G45290/AT5G61580/AT1G32440/AT4G14880/AT3G16950/AT1G22440/AT3G04120/AT5G66760/AT3G08860/AT1G74030/AT2G21330/AT2G13560/AT1G67090/AT5G40760/AT3G15290/AT1G42970/AT1G70580/AT5G43330/AT5G35790/AT3G55800/AT3G51840/AT4G26270/AT3G60750/AT3G14420/AT4G39660/AT5G14780/AT2G13360/AT1G53240/AT1G32470/AT1G68010/AT4G13930/AT1G17745/AT1G12900/AT4G00570/AT4G26530/AT2G34590/AT5G38410/AT5G24400/AT2G05710/AT3G02360/AT1G17290/AT3G55440/AT2G30660/AT3G14940/AT5G58330/AT2G35120/AT1G48030/AT5G65110/AT4G35090/AT4G16760/AT5G61410/AT1G09780/AT5G14590/AT3G58750/AT1G50460/AT2G17640/AT4G15530/AT1G11860/AT2G24270/AT5G56350/AT1G68750/AT5G42740/AT4G33010/AT2G01140/AT3G22960/AT5G65750/AT5G48230/AT5G18170/AT5G52920/AT5G47720/AT3G25530/AT4G37930/AT1G13440/AT4G38970/AT4G37870/AT1G22430/AT5G11520/AT2G44350/AT1G65930/AT5G07440/AT3G22460/AT1G06550/AT3G04940/AT1G01090/AT2G36530",108
"Metabolism","Carbohydrate metabolism","ath00010","Glycolysis / Gluconeogenesis","54/1512","119/6356",0.453781512605042,1.90756302521008,5.58333914305963,1.5524887206682e-07,1.06345477365772e-05,1.06345477365772e-05,"AT3G52990/AT3G54050/AT4G34240/AT1G22170/AT1G56190/AT2G22480/AT1G43670/AT5G42250/AT5G57330/AT5G24760/AT5G61580/AT4G36250/AT1G32440/AT3G16950/AT1G22440/AT1G77120/AT3G04120/AT3G47800/AT1G74030/AT2G21330/AT5G15140/AT4G26270/AT4G26530/AT1G09870/AT5G54960/AT2G34590/AT3G55440/AT1G76550/AT4G17260/AT1G48030/AT1G54100/AT1G23800/AT1G09780/AT1G50460/AT4G15530/AT5G01320/AT2G24270/AT3G01590/AT5G56350/AT5G42740/AT2G01140/AT3G22960/AT3G17940/AT5G52920/AT1G13440/AT5G51820/AT4G38970/AT4G37870/AT1G22430/AT5G66530/AT1G44170/AT3G48000/AT1G01090/AT2G36530",54
"Metabolism","Energy metabolism","ath00710","Carbon fixation by Calvin cycle","35/1512","71/6356",0.492957746478873,2.07224830464267,5.07578838238587,2.32888248591824e-06,8.34521385760978e-05,8.34521385760978e-05,"AT3G54050/AT5G09660/AT1G32060/AT1G56190/AT1G53310/AT1G43670/AT1G79750/AT2G30970/AT2G45290/AT3G04120/AT2G21330/AT2G13560/AT1G67090/AT1G42970/AT1G70580/AT5G43330/AT3G55800/AT3G60750/AT1G53240/AT1G12900/AT4G00570/AT4G26530/AT5G38410/AT1G17290/AT3G55440/AT3G14940/AT5G58330/AT5G61410/AT4G15530/AT1G68750/AT2G01140/AT1G13440/AT4G38970/AT4G37870/AT5G11520",35
"Metabolism","Amino acid metabolism","ath00280","Valine, leucine and isoleucine degradation","28/1512","52/6356",0.538461538461538,2.26353276353276,5.11106828272362,2.61600830742561e-06,8.34521385760978e-05,8.34521385760978e-05,"AT4G34240/AT3G06850/AT1G10070/AT1G50090/AT2G14170/AT2G30650/AT4G36250/AT3G16950/AT3G08860/AT5G09300/AT2G26800/AT1G55510/AT4G39660/AT2G33150/AT2G30660/AT4G16210/AT4G11820/AT1G48030/AT1G54100/AT1G23800/AT5G48230/AT5G47720/AT3G45300/AT1G03090/AT1G06550/AT1G44170/AT3G48000/AT4G34030",28
"Metabolism","Lipid metabolism","ath00071","Fatty acid degradation","26/1512","47/6356",0.553191489361702,2.32545311268716,5.09523994274462,3.04569848817875e-06,8.34521385760978e-05,8.34521385760978e-05,"AT4G34240/AT2G47240/AT5G42250/AT5G24760/AT4G36250/AT1G49430/AT1G22440/AT1G77120/AT1G77590/AT2G04350/AT4G29010/AT3G23790/AT3G51840/AT2G33150/AT4G23850/AT4G16210/AT5G65110/AT1G54100/AT1G23800/AT4G16760/AT4G14430/AT5G48230/AT5G47720/AT1G22430/AT1G44170/AT3G48000",26
"Metabolism","Global and overview maps","ath01240","Biosynthesis of cofactors","87/1512","239/6356",0.364016736401674,1.53021850302185,4.66784251470845,5.56364038565114e-06,0.000127036455472368,0.000127036455472368,"AT5G20990/AT4G34240/AT3G57610/AT4G32770/AT1G10070/AT1G50090/AT4G27270/AT5G35170/AT1G22940/AT4G30440/AT2G30390/AT5G46290/AT5G15490/AT2G39770/AT2G26540/AT3G24200/AT4G26850/AT3G63410/AT4G36250/AT5G37850/AT1G60550/AT5G60540/AT3G16950/AT4G23100/AT4G31050/AT4G20320/AT1G06570/AT2G28880/AT2G46760/AT3G07270/AT1G74910/AT3G18680/AT1G21640/AT3G02870/AT3G11945/AT4G01690/AT1G17710/AT2G40490/AT4G21470/AT5G32470/AT5G57300/AT1G64970/AT5G01410/AT2G43760/AT5G54770/AT1G78590/AT2G43360/AT2G31955/AT1G03475/AT4G13930/AT1G55090/AT5G57850/AT3G29360/AT3G11750/AT2G22230/AT2G18250/AT5G14760/AT2G05990/AT5G63400/AT3G10160/AT5G17310/AT3G21070/AT1G48030/AT1G23800/AT3G01820/AT5G04620/AT5G57590/AT3G03980/AT4G23900/AT2G23420/AT5G28840/AT2G44050/AT2G18950/AT3G12670/AT3G02570/AT4G37930/AT1G58290/AT5G08415/AT5G27380/AT5G23230/AT1G48320/AT2G46110/AT5G26710/AT1G44170/AT1G74960/AT4G29530/AT3G48000",87
"Metabolism","Metabolism of terpenoids and polyketides","ath00906","Carotenoid biosynthesis","19/1512","32/6356",0.59375,2.49594907407407,4.73944484556401,1.69822788243736e-05,0.000332367456991311,0.000332367456991311,"AT3G10230/AT1G52340/AT4G25700/AT5G57030/AT4G14210/AT1G10830/AT5G17230/AT3G21420/AT4G19230/AT3G14440/AT2G27150/AT1G31800/AT3G19270/AT2G29090/AT5G67030/AT4G19170/AT4G36470/AT3G04870/AT3G53130",19
"Metabolism","Global and overview maps","ath01230","Biosynthesis of amino acids","85/1512","242/6356",0.351239669421488,1.47650749923477,4.22227301357811,3.38005309011709e-05,0.000578834091682552,0.000578834091682552,"AT3G52990/AT5G05730/AT5G17920/AT1G22410/AT4G27070/AT1G22170/AT1G10070/AT3G48560/AT1G50090/AT1G56190/AT2G22480/AT4G17830/AT3G47340/AT5G37600/AT2G30970/AT4G24830/AT1G11790/AT2G22250/AT5G53460/AT5G66120/AT4G33510/AT4G34200/AT5G17990/AT3G61440/AT2G45290/AT5G61580/AT1G32440/AT4G14880/AT4G08900/AT2G29690/AT3G04120/AT3G06350/AT1G74030/AT2G21330/AT5G10870/AT5G35630/AT1G70580/AT1G08630/AT4G26270/AT3G60750/AT2G39800/AT4G13930/AT1G17745/AT4G26530/AT5G34930/AT2G05710/AT5G28237/AT1G17290/AT4G19710/AT3G55440/AT4G39980/AT1G75330/AT4G33680/AT5G61410/AT1G09780/AT5G14590/AT3G57560/AT3G58750/AT2G17640/AT5G56350/AT5G14800/AT4G29840/AT2G17265/AT2G27820/AT2G01140/AT3G22960/AT2G19940/AT3G29200/AT3G14390/AT5G52920/AT4G37930/AT1G13440/AT2G13810/AT4G38970/AT3G58610/AT2G45440/AT5G11520/AT2G45300/AT2G44350/AT1G65930/AT3G22460/AT5G14060/AT3G04940/AT1G14810/AT2G36530",85
"Metabolism","Carbohydrate metabolism","ath00620","Pyruvate metabolism","41/1512","97/6356",0.422680412371134,1.77682321496754,4.30712219346144,3.94155795434408e-05,0.000599992710827932,0.000599992710827932,"AT3G52990/AT5G09660/AT4G34240/AT5G16390/AT1G53310/AT1G79750/AT5G42250/AT5G24760/AT4G36250/AT1G32440/AT3G16950/AT1G22440/AT1G77120/AT2G13560/AT5G03370/AT5G43330/AT1G11840/AT1G53240/AT3G02720/AT4G00570/AT2G34590/AT1G67280/AT4G17260/AT3G14940/AT5G58330/AT1G48030/AT1G54100/AT1G23800/AT4G15530/AT5G56350/AT1G68750/AT3G22960/AT5G48230/AT5G52920/AT5G47720/AT4G37870/AT1G22430/AT1G06130/AT1G44170/AT3G48000/AT1G01090",41
"Metabolism","Carbohydrate metabolism","ath00630","Glyoxylate and dicarboxylate metabolism","35/1512","81/6356",0.432098765432099,1.81641518061271,4.13121998625194,8.32445903597567e-05,0.00114045088792867,0.00114045088792867,"AT5G47760/AT5G09660/AT4G37560/AT5G36700/AT5G37600/AT5G47435/AT1G20630/AT3G16950/AT3G08860/AT1G67090/AT5G35630/AT1G70580/AT5G43330/AT3G14420/AT4G39660/AT5G14780/AT2G13360/AT1G53240/AT1G32470/AT1G68010/AT4G13930/AT5G38410/AT2G05710/AT2G35120/AT1G48030/AT4G35090/AT3G58750/AT1G11860/AT5G04140/AT4G33010/AT5G48230/AT5G47720/AT3G25530/AT4G37930/AT2G44350",35
