"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Translation","ath03010","Ribosome","125/1084","394/6356",0.317258883248731,1.86023751100455,7.99383572246088,1.13602021400032e-13,1.55634769318044e-11,1.55634769318044e-11,"AT3G44590/AT3G10090/AT1G05190/AT3G56910/AT2G04390/AT1G43170/AT5G24510/AT5G02960/AT1G22780/AT4G02230/AT2G36620/AT3G49080/AT4G01310/AT5G58420/AT1G67430/AT3G63490/AT3G55280/AT2G17360/AT5G39740/AT3G18760/AT1G48350/AT3G48930/AT1G36240/AT5G56710/AT4G25740/AT5G39800/AT1G33120/AT5G09510/AT1G07770/AT1G32990/AT5G02450/AT4G18100/AT2G42740/AT3G62870/AT5G56940/AT3G18240/AT1G74050/AT1G14620/AT3G49010/AT3G13580/AT1G35680/AT2G21290/AT4G37660/AT5G13510/AT5G40950/AT4G34555/AT5G30510/AT4G17560/AT2G24090/AT3G16080/AT1G26740/AT3G54210/AT3G09630/AT5G48760/AT4G25890/AT1G49400/AT2G32060/AT3G05590/AT4G28360/AT4G31985/AT3G04770/AT2G43030/AT2G47610/AT1G64880/AT5G04800/AT3G02080/AT2G38140/AT4G17390/AT3G25920/AT2G40590/AT2G33800/AT4G34670/AT2G37270/AT3G49910/AT1G26880/AT3G09500/AT3G52590/AT5G20180/AT5G39850/AT5G10360/AT3G27850/AT4G36130/AT5G54600/AT1G64510/AT4G15000/AT1G23410/AT3G04920/AT4G14320/AT3G45030/AT3G02560/AT4G29410/AT3G09200/AT4G27090/AT2G33450/AT3G61110/AT1G74270/AT3G04400/AT3G10950/AT1G70600/AT1G02780/AT2G34480/AT1G07320/AT2G37190/AT2G20450/AT3G13120/AT5G27700/AT2G47110/AT5G65220/AT3G59540/AT1G79850/AT1G68590/AT1G48630/AT1G08360/AT5G17870/AT3G52580/AT1G74970/AT3G44890/AT3G52150/AT1G29070/AT3G13882/AT1G75350/AT5G59240/AT4G00100/AT1G78630/AT3G05560",125
"Metabolism","Energy metabolism","ath00195","Photosynthesis","32/1084","77/6356",0.415584415584416,2.43676618584368,5.7513650925207,3.04210974984528e-07,1.5865511135172e-05,1.5865511135172e-05,"AT5G66190/AT4G12800/AT4G04640/AT5G45040/AT1G03600/AT1G03130/AT4G32260/AT3G16140/AT4G09650/AT1G20340/AT1G67740/AT1G32550/AT2G20260/AT1G79040/AT1G08380/AT3G50820/AT1G10960/AT4G05180/AT1G44575/AT4G03280/AT4G28660/AT1G14150/AT1G30380/AT1G55670/AT2G30570/AT3G01440/AT4G14890/AT5G64040/AT3G55330/AT1G31330/AT1G52230/AT1G06680",32
"Metabolism","Metabolism of cofactors and vitamins","ath00860","Porphyrin metabolism","26/1084","57/6356",0.456140350877193,2.67456464038325,5.75822005734881,4.46027074092116e-07,1.5865511135172e-05,1.5865511135172e-05,"AT1G08520/AT5G43860/AT3G56940/AT1G58290/AT3G48730/AT5G54190/AT1G44446/AT5G08280/AT1G74470/AT3G51820/AT5G13630/AT2G40490/AT3G14930/AT3G09150/AT1G44000/AT1G03475/AT2G30390/AT1G04620/AT5G18660/AT4G25080/AT4G37000/AT4G18480/AT5G64050/AT2G40300/AT4G01690/AT5G26030",26
"Metabolism","Energy metabolism","ath00710","Carbon fixation by Calvin cycle","30/1084","71/6356",0.422535211267606,2.47752195831817,5.67669021759306,4.63226602486775e-07,1.5865511135172e-05,1.5865511135172e-05,"AT5G44520/AT1G13440/AT1G68750/AT5G61410/AT4G00570/AT1G67090/AT5G09660/AT5G38410/AT4G26530/AT1G12900/AT2G21330/AT1G70580/AT3G04120/AT3G60750/AT2G13560/AT4G38970/AT1G53240/AT1G42970/AT3G55800/AT3G55440/AT1G43670/AT1G56190/AT1G79750/AT1G12230/AT5G43330/AT1G32060/AT3G54050/AT3G04790/AT5G58330/AT4G15530",30
"Metabolism","Energy metabolism","ath00196","Photosynthesis - antenna proteins","14/1084","22/6356",0.636363636363636,3.73129822207313,5.81870246794189,1.33850378199904e-06,3.66750036267737e-05,3.66750036267738e-05,"AT1G15820/AT2G05100/AT3G47470/AT4G10340/AT1G29930/AT1G45474/AT2G40100/AT3G61470/AT5G54270/AT3G08940/AT1G19150/AT3G54890/AT1G61520/AT1G76570",14
"Metabolism","Global and overview maps","ath01200","Carbon metabolism","75/1084","275/6356",0.272727272727273,1.59912780945991,4.60556633029725,9.68510190770095e-06,0.000219238527282062,0.000219238527282062,"AT4G34200/AT1G01090/AT5G07440/AT2G44350/AT5G44520/AT1G06550/AT1G13440/AT4G37930/AT3G25530/AT5G52920/AT5G48230/AT3G22960/AT4G33010/AT5G35360/AT1G68750/AT5G56350/AT1G11860/AT5G61410/AT5G42250/AT1G48030/AT4G00570/AT5G35790/AT1G67090/AT5G09660/AT5G61580/AT5G38410/AT2G24270/AT1G17650/AT2G30650/AT4G26530/AT1G12900/AT2G21330/AT1G70580/AT5G66760/AT2G13360/AT2G14170/AT1G36370/AT5G24400/AT3G04120/AT3G50520/AT3G60510/AT3G60750/AT2G13560/AT4G37560/AT4G38970/AT1G68010/AT1G53240/AT1G42970/AT3G55800/AT4G14880/AT3G55440/AT1G32470/AT1G22440/AT1G17745/AT3G14420/AT3G16950/AT5G16390/AT1G43670/AT2G30660/AT5G42740/AT1G56190/AT5G36700/AT1G79750/AT1G12230/AT5G43330/AT1G74030/AT1G32060/AT1G80380/AT4G35640/AT3G54050/AT3G04790/AT2G34590/AT5G58330/AT2G22480/AT4G15530",75
"Metabolism","Biosynthesis of other secondary metabolites","ath00941","Flavonoid biosynthesis","14/1084","25/6356",0.56,3.28354243542435,5.18713620454654,1.12019685472587e-05,0.000219238527282062,0.000219238527282062,"AT3G51240/AT5G08640/AT4G22880/AT5G05270/AT5G48930/AT2G19070/AT2G30490/AT5G42800/AT5G07990/AT4G34050/AT3G55120/AT5G13930/AT1G61720/AT1G67980",14
"Metabolism","Lipid metabolism","ath00061","Fatty acid biosynthesis","18/1084","43/6356",0.418604651162791,2.45447524242684,4.33917718239535,0.00010791209815746,0.00184799468094651,0.00184799468094651,"AT1G74960/AT2G43710/AT1G24360/AT1G08510/AT5G35360/AT1G36160/AT4G14070/AT2G04350/AT2G47240/AT2G22230/AT3G23790/AT1G43800/AT5G16390/AT1G49430/AT2G05990/AT1G77590/AT4G23850/AT5G46290",18
"Metabolism","Global and overview maps","ath01212","Fatty acid metabolism","25/1084","70/6356",0.357142857142857,2.09409594095941,4.17351478388096,0.000124523276378828,0.00189552098487771,0.00189552098487771,"AT1G74960/AT2G43710/AT3G12120/AT3G55360/AT1G24360/AT5G48230/AT1G08510/AT5G35360/AT1G36160/AT4G14070/AT2G04350/AT1G67730/AT2G47240/AT2G22230/AT3G23790/AT4G29010/AT1G43800/AT5G10480/AT5G16390/AT2G33150/AT1G49430/AT2G05990/AT1G77590/AT4G23850/AT5G46290",25
"Metabolism","Carbohydrate metabolism","ath00620","Pyruvate metabolism","31/1084","97/6356",0.319587628865979,1.87389203788945,3.93256483629334,0.000218489499868477,0.0029111384140015,0.0029111384140015,"AT1G06130/AT1G44170/AT1G01090/AT3G48000/AT5G52920/AT5G48230/AT3G22960/AT5G35360/AT1G68750/AT5G56350/AT1G36160/AT5G42250/AT1G67280/AT1G48030/AT4G00570/AT5G09660/AT3G10850/AT3G02720/AT2G13560/AT4G36250/AT1G11840/AT1G53240/AT1G22440/AT3G16950/AT5G16390/AT1G79750/AT5G43330/AT4G34240/AT2G34590/AT5G58330/AT4G15530",31
