"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Environmental adaptation","ath04626","Plant-pathogen interaction","55/628","216/6356",0.25462962962963,2.57711134701581,7.80802402707345,1.46870744509264e-11,2.01212919977692e-09,2.01212919977692e-09,"AT3G50770/AT5G46330/AT1G21550/AT5G04870/AT2G41410/AT4G12860/AT3G25600/AT5G12480/AT1G64060/AT2G38470/AT1G09090/AT3G62220/AT2G14580/AT4G01250/AT2G24610/AT3G25070/AT3G43810/AT2G04880/AT1G18890/AT5G53130/AT1G19440/AT3G17410/AT2G27480/AT3G21630/AT5G24430/AT4G01370/AT3G07490/AT2G38910/AT2G28260/AT5G43760/AT1G24620/AT3G20410/AT2G17290/AT3G59350/AT2G26640/AT5G56030/AT1G18210/AT4G33430/AT5G56270/AT1G80460/AT2G34930/AT2G15680/AT5G66210/AT4G09570/AT3G45640/AT5G37780/AT3G57530/AT3G48080/AT3G17700/AT5G20480/AT1G76650/AT5G52640/AT4G23550/AT4G08500/AT3G28910",55
"Metabolism","Lipid metabolism","ath00592","alpha-Linolenic acid metabolism","17/628","46/6356",0.369565217391304,3.74037662697314,6.17604690401797,7.41074271700711e-07,5.07635876114987e-05,5.07635876114987e-05,"AT1G20510/AT3G25780/AT4G16760/AT5G42650/AT3G03310/AT3G51840/AT1G77120/AT4G19860/AT5G04040/AT1G19640/AT5G65110/AT3G06860/AT3G01420/AT2G33150/AT4G13010/AT1G17420/AT2G06050",17
"Environmental Information Processing","Signal transduction","ath04016","MAPK signaling pathway - plant","34/628","146/6356",0.232876712328767,2.35694965535294,5.49199910158487,1.26281123024204e-06,5.76683795143865e-05,5.76683795143865e-05,"AT1G10940/AT3G06110/AT5G46330/AT2G38310/AT3G23240/AT4G11280/AT3G18040/AT3G61510/AT1G64060/AT2G38470/AT1G09090/AT2G14580/AT4G01250/AT3G18690/AT1G63440/AT5G66880/AT5G62230/AT3G43810/AT5G46790/AT4G01370/AT4G13000/AT5G44790/AT5G63310/AT1G66340/AT4G33430/AT5G53160/AT2G25490/AT3G23150/AT3G45640/AT5G37780/AT4G35090/AT4G23550/AT4G08500/AT2G40940",34
"Cellular Processes","Transport and catabolism","ath04144","Endocytosis","35/628","156/6356",0.224358974358974,2.27074146660134,5.32058947565748,2.22241509062329e-06,7.61177168538475e-05,7.61177168538475e-05,"AT3G07940/AT5G02500/AT1G03950/AT2G41210/AT4G21160/AT3G15730/AT2G42010/AT3G46060/AT4G38200/AT5G17060/AT1G73030/AT3G12400/AT3G60860/AT5G60860/AT2G06530/AT4G19640/AT1G06400/AT5G44560/AT3G10640/AT1G48790/AT1G10600/AT5G45130/AT3G46540/AT5G59840/AT3G12580/AT1G16030/AT5G22950/AT5G61980/AT4G26750/AT1G60890/AT3G17660/AT4G35790/AT2G17840/AT2G43160/AT3G53120",35
"Metabolism","Lipid metabolism","ath00071","Fatty acid degradation","16/628","47/6356",0.340425531914894,3.44545331345711,5.57139738454993,5.501040327184e-06,0.000150728504964842,0.000150728504964842,"AT1G44170/AT3G48000/AT1G22430/AT4G16760/AT5G43940/AT2G47240/AT3G05970/AT3G51840/AT1G77120/AT4G16210/AT5G65110/AT4G14430/AT3G06860/AT2G33150/AT1G22440/AT4G36250",16
"Metabolism","Glycan biosynthesis and metabolism","ath00520","Amino sugar and nucleotide sugar metabolism","29/628","124/6356",0.233870967741935,2.36701253338812,5.08985852758333,7.01871234091098e-06,0.000160260598450801,0.000160260598450801,"AT5G24090/AT1G12780/AT5G15490/AT5G15650/AT5G42740/AT3G59480/AT5G51830/AT4G30440/AT3G01640/AT3G02570/AT3G06580/AT3G46440/AT4G19810/AT3G24090/AT3G25140/AT3G29360/AT3G19620/AT4G10960/AT2G39770/AT1G30540/AT1G06780/AT4G16130/AT3G02350/AT2G47650/AT3G10740/AT5G39320/AT5G47780/AT1G50460/AT4G23920",29
"Metabolism","Metabolism of other amino acids","ath00410","beta-Alanine metabolism","15/628","47/6356",0.319148936170213,3.23011248136604,5.08079331450007,2.61564625127309e-05,0.000511919337749162,0.000511919337749162,"AT1G44170/AT3G48000/AT1G65840/AT4G16760/AT5G17330/AT2G42490/AT3G51840/AT2G14170/AT4G16210/AT1G31710/AT5G65110/AT5G13700/AT4G36250/AT3G17810/AT3G59050",15
"Metabolism","Global and overview maps","ath01250","Biosynthesis of nucleotide sugars","24/628","101/6356",0.237623762376238,2.40499463959135,4.71256975712123,3.27003774539301e-05,0.000559993963898553,0.000559993963898553,"AT1G12780/AT5G15490/AT2G19800/AT5G15650/AT5G42740/AT3G59480/AT5G51830/AT4G30440/AT3G01640/AT3G02570/AT3G06580/AT3G46440/AT3G24090/AT3G29360/AT5G66280/AT4G10960/AT2G39770/AT1G30540/AT4G16130/AT1G78570/AT2G47650/AT5G39320/AT1G50460/AT4G23920",24
"Metabolism","Amino acid metabolism","ath00330","Arginine and proline metabolism","16/628","54/6356",0.296296296296296,2.99882047652748,4.88390901899229,3.98862074114676e-05,0.000607156712819007,0.000607156712819007,"AT1G44170/AT3G48000/AT1G65840/AT5G11520/AT1G20270/AT1G23820/AT5G62530/AT3G28480/AT3G02470/AT3G25570/AT5G38710/AT4G34710/AT5G13700/AT4G36250/AT2G30970/AT3G59050",16
"Metabolism","Amino acid metabolism","ath00280","Valine, leucine and isoleucine degradation","14/628","52/6356",0.269230769230769,2.72488975992161,4.13514752670071,0.000367762064422903,0.00503834028259377,0.00503834028259377,"AT1G44170/AT4G34030/AT3G48000/AT1G03090/AT1G10070/AT2G38400/AT3G45300/AT2G14170/AT4G16210/AT5G09300/AT4G39660/AT2G33150/AT3G06850/AT4G36250",14
