# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-t" "gene" "-g" "ID" "-a" "reference/GWH_reference/annotation.gff" "-o" "counts/C0H_R1_counts.txt" "alignments/C0H_R1.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/C0H_R1.sorted.bam
GUL01G000001	GWHHCNU00000001.1	433	681	+	249	0
GUL01G000002	GWHHCNU00000001.1	1789	5149	-	3361	750
GUL01G000003	GWHHCNU00000001.1	5244	7720	-	2477	16
GUL01G000004	GWHHCNU00000001.1	20836	21087	+	252	0
GUL01G000005	GWHHCNU00000001.1	74475	74781	-	307	778
GUL01G000006	GWHHCNU00000001.1	74992	93220	-	18229	1131
GUL01G000007	GWHHCNU00000001.1	126004	127033	+	1030	0
GUL01G000008	GWHHCNU00000001.1	238429	239546	+	1118	37
GUL01G000009	GWHHCNU00000001.1	270221	270781	-	561	0
GUL01G000010	GWHHCNU00000001.1	275422	276935	+	1514	0
GUL01G000011	GWHHCNU00000001.1	286957	287660	-	704	0
GUL01G000012	GWHHCNU00000001.1	299172	300366	+	1195	0
GUL01G000013	GWHHCNU00000001.1	301598	302074	-	477	0
GUL01G000014	GWHHCNU00000001.1	307470	309559	+	2090	0
GUL01G000015	GWHHCNU00000001.1	314680	316363	+	1684	0
GUL01G000016	GWHHCNU00000001.1	316572	318739	+	2168	0
GUL01G000017	GWHHCNU00000001.1	318778	319619	+	842	0
GUL01G000018	GWHHCNU00000001.1	319958	321079	+	1122	0
GUL01G000019	GWHHCNU00000001.1	341833	342411	+	579	226
GUL01G000020	GWHHCNU00000001.1	344341	346158	-	1818	72
GUL01G000021	GWHHCNU00000001.1	347527	348488	-	962	351
GUL01G000022	GWHHCNU00000001.1	350852	357405	-	6554	325
GUL01G000023	GWHHCNU00000001.1	364106	364804	-	699	0
GUL01G000024	GWHHCNU00000001.1	366696	367365	+	670	0
GUL01G000025	GWHHCNU00000001.1	370355	373911	+	3557	0
GUL01G000026	GWHHCNU00000001.1	376912	379509	+	2598	0
GUL01G000027	GWHHCNU00000001.1	384886	385134	-	249	0
GUL01G000028	GWHHCNU00000001.1	440473	440829	-	357	0
GUL01G000029	GWHHCNU00000001.1	440997	441332	-	336	0
GUL01G000030	GWHHCNU00000001.1	467703	468566	+	864	2
GUL01G000031	GWHHCNU00000001.1	475866	476849	+	984	41
GUL01G000032	GWHHCNU00000001.1	478471	480407	-	1937	0
GUL01G000033	GWHHCNU00000001.1	500264	500741	-	478	0
GUL01G000034	GWHHCNU00000001.1	510928	516112	-	5185	629
GUL01G000035	GWHHCNU00000001.1	531687	532719	+	1033	0
GUL01G000036	GWHHCNU00000001.1	533659	535743	+	2085	0
GUL01G000037	GWHHCNU00000001.1	541307	543881	-	2575	0
GUL01G000038	GWHHCNU00000001.1	551442	551642	+	201	0
GUL01G000039	GWHHCNU00000001.1	551859	552176	+	318	0
GUL01G000040	GWHHCNU00000001.1	567465	568750	-	1286	0
GUL01G000041	GWHHCNU00000001.1	612510	612803	+	294	0
GUL01G000042	GWHHCNU00000001.1	622448	623942	-	1495	0
GUL01G000043	GWHHCNU00000001.1	629085	629498	+	414	0
GUL01G000044	GWHHCNU00000001.1	638072	638845	-	774	0
GUL01G000045	GWHHCNU00000001.1	639020	639685	-	666	0
GUL01G000046	GWHHCNU00000001.1	639980	643589	-	3610	4
GUL01G000047	GWHHCNU00000001.1	684026	684253	+	228	0
GUL01G000048	GWHHCNU00000001.1	700204	703598	-	3395	0
GUL01G000049	GWHHCNU00000001.1	701721	702080	-	360	0
GUL01G000050	GWHHCNU00000001.1	702356	702574	-	219	0
GUL01G000051	GWHHCNU00000001.1	731196	734306	+	3111	0
GUL01G000052	GWHHCNU00000001.1	745895	749322	+	3428	0
GUL01G000053	GWHHCNU00000001.1	750720	752029	-	1310	0
GUL01G000054	GWHHCNU00000001.1	752096	753023	+	928	0
GUL01G000055	GWHHCNU00000001.1	753708	757147	+	3440	0
GUL01G000056	GWHHCNU00000001.1	758094	762288	-	4195	0
GUL01G000057	GWHHCNU00000001.1	775969	779159	+	3191	0
GUL01G000058	GWHHCNU00000001.1	780566	782949	-	2384	0
GUL01G000059	GWHHCNU00000001.1	798272	799660	+	1389	74
GUL01G000060	GWHHCNU00000001.1	800318	801416	-	1099	0
GUL01G000061	GWHHCNU00000001.1	803592	805673	+	2082	0
GUL01G000062	GWHHCNU00000001.1	805720	806846	+	1127	8
GUL01G000063	GWHHCNU00000001.1	808253	810386	+	2134	31
GUL01G000064	GWHHCNU00000001.1	825877	826546	+	670	4
GUL01G000065	GWHHCNU00000001.1	827745	828959	-	1215	1
GUL01G000066	GWHHCNU00000001.1	830287	831106	+	820	0
GUL01G000067	GWHHCNU00000001.1	833153	833656	+	504	0
GUL01G000068	GWHHCNU00000001.1	833686	836503	+	2818	16
GUL01G000069	GWHHCNU00000001.1	838161	839966	+	1806	0
GUL01G000070	GWHHCNU00000001.1	854753	857642	+	2890	0
GUL01G000071	GWHHCNU00000001.1	862712	863907	-	1196	0
GUL01G000072	GWHHCNU00000001.1	864623	866004	-	1382	0
GUL01G000073	GWHHCNU00000001.1	867352	867909	+	558	0
GUL01G000074	GWHHCNU00000001.1	899836	901548	-	1713	0
GUL01G000075	GWHHCNU00000001.1	912857	913822	-	966	0
GUL01G000076	GWHHCNU00000001.1	918048	918278	+	231	0
GUL01G000077	GWHHCNU00000001.1	935855	936160	+	306	0
GUL01G000078	GWHHCNU00000001.1	954222	954515	-	294	0
GUL01G000079	GWHHCNU00000001.1	957754	957993	+	240	0
GUL01G000080	GWHHCNU00000001.1	959902	962458	+	2557	174
GUL01G000081	GWHHCNU00000001.1	965561	966233	-	673	13
GUL01G000082	GWHHCNU00000001.1	1114830	1115714	-	885	0
GUL01G000083	GWHHCNU00000001.1	1130440	1132594	+	2155	9
GUL01G000084	GWHHCNU00000001.1	1135019	1136389	+	1371	466
GUL01G000085	GWHHCNU00000001.1	1140428	1141090	-	663	0
GUL01G000086	GWHHCNU00000001.1	1141151	1144154	-	3004	0
GUL01G000087	GWHHCNU00000001.1	1151350	1156308	+	4959	0
GUL01G000088	GWHHCNU00000001.1	1162260	1164386	-	2127	63
GUL01G000089	GWHHCNU00000001.1	1166641	1168686	+	2046	0
GUL01G000090	GWHHCNU00000001.1	1172311	1181252	-	8942	0
GUL01G000091	GWHHCNU00000001.1	1182959	1183264	+	306	0
GUL01G000092	GWHHCNU00000001.1	1183337	1186910	+	3574	0
GUL01G000093	GWHHCNU00000001.1	1220354	1220683	-	330	0
GUL01G000094	GWHHCNU00000001.1	1224149	1224557	+	409	0
GUL01G000095	GWHHCNU00000001.1	1225716	1225946	+	231	0
GUL01G000096	GWHHCNU00000001.1	1225962	1226738	+	777	0
GUL01G000097	GWHHCNU00000001.1	1253545	1253889	-	345	0
GUL01G000098	GWHHCNU00000001.1	1254057	1254564	-	508	0
GUL01G000099	GWHHCNU00000001.1	1280675	1281538	+	864	0
GUL01G000100	GWHHCNU00000001.1	1288884	1289866	+	983	133
GUL01G000101	GWHHCNU00000001.1	1301597	1306693	-	5097	975
GUL01G000102	GWHHCNU00000001.1	1307617	1308180	+	564	37
GUL01G000103	GWHHCNU00000001.1	1335911	1336653	-	743	8
GUL01G000104	GWHHCNU00000001.1	1352108	1353113	-	1006	0
