"Geneid","at_id","SYMBOL","functional_group","log2FoldChange","pvalue","padj","GENENAME"
"GUL01G001482","AT4G37930","SHM1","Hormone: Ethylene",5.96130328275003,0,0,"Encodes a protein with mitochondrial serine hydroxymethyltransferase activity, which functions in the photorespiratory pathway, catalyzes the conversion of serine and tetrahydrofolate to glycine and 5,10-methylene tetrahydrofolate.  Involved in controlling cell damage caused by abiotic stress, such as high light and salt and the hypersensitive defense response of plants."
"GUL01G001482","AT4G37930","SHMT1","Hormone: Ethylene",5.96130328275003,0,0,"Encodes a protein with mitochondrial serine hydroxymethyltransferase activity, which functions in the photorespiratory pathway, catalyzes the conversion of serine and tetrahydrofolate to glycine and 5,10-methylene tetrahydrofolate.  Involved in controlling cell damage caused by abiotic stress, such as high light and salt and the hypersensitive defense response of plants."
"GUL01G001482","AT4G37930","STM","Hormone: Ethylene",5.96130328275003,0,0,"Encodes a protein with mitochondrial serine hydroxymethyltransferase activity, which functions in the photorespiratory pathway, catalyzes the conversion of serine and tetrahydrofolate to glycine and 5,10-methylene tetrahydrofolate.  Involved in controlling cell damage caused by abiotic stress, such as high light and salt and the hypersensitive defense response of plants."
"GUL05G002595","AT1G78080","AtWIND1","Hormone: Ethylene",-1.80841975318723,2.11286725109461e-117,1.15750225320569e-115,"Encodes a member of the DREB subfamily A-6 of ERF/AP2 transcription factor family (RAP2.4). The protein contains one AP2 domain. Role in mediating light and ethylene signaling."
"GUL05G002595","AT1G78080","WIND1","Hormone: Ethylene",-1.80841975318723,2.11286725109461e-117,1.15750225320569e-115,"Encodes a member of the DREB subfamily A-6 of ERF/AP2 transcription factor family (RAP2.4). The protein contains one AP2 domain. Role in mediating light and ethylene signaling."
"GUL04G000012","AT4G35090","CAT2","Hormone: Ethylene",-4.1633059358608,1.16743317250141e-113,6.07040515947081e-112,"Encodes a peroxisomal catalase, highly expressed in bolts and leaves.  mRNA expression patterns show circadian regulation with mRNA levels being high in the subjective early morning. Loss of function mutations have increased H2O2 levels and increased H2O2  sensitivity. Mutants accumulate more toxic ions yet show decreased sensitivity to Li+. This decreased sensitivity is most likely due to an insensitivity to ethylene.  Note that in Queval et al. (2007) Plant Journal, 52(4):640, SALK_057998 is named as cat2-1, SALK_076998 is named as cat2-2; in Bueso et al. (2007) Plant Journal, 52(6):1052, SALK_076998 is named as cat2-1. TAIR has adopted the nomenclature consistent with that in Bueso et al. (2007) after consultation with the authors: SALK_076998 (cat2-1), SALK_057998 (cat2-2)."
"GUL02G004450","AT1G25560","AtTEM1","Hormone: Ethylene",-2.44069342681366,6.83498771683997e-83,2.549408868304e-81,"Encodes a member of the RAV transcription factor family that contains AP2 and B3 binding domains. Involved in the regulation of flowering under long days. Loss of function results in early flowering. Overexpression causes late flowering and  repression of expression of FT. Novel transcriptional regulator involved in ethylene signaling. Promoter bound by EIN3. EDF1 in turn, binds to promoter elements in ethylene responsive genes."
"GUL02G004450","AT1G25560","EDF1","Hormone: Ethylene",-2.44069342681366,6.83498771683997e-83,2.549408868304e-81,"Encodes a member of the RAV transcription factor family that contains AP2 and B3 binding domains. Involved in the regulation of flowering under long days. Loss of function results in early flowering. Overexpression causes late flowering and  repression of expression of FT. Novel transcriptional regulator involved in ethylene signaling. Promoter bound by EIN3. EDF1 in turn, binds to promoter elements in ethylene responsive genes."
"GUL02G004450","AT1G25560","TEM1","Hormone: Ethylene",-2.44069342681366,6.83498771683997e-83,2.549408868304e-81,"Encodes a member of the RAV transcription factor family that contains AP2 and B3 binding domains. Involved in the regulation of flowering under long days. Loss of function results in early flowering. Overexpression causes late flowering and  repression of expression of FT. Novel transcriptional regulator involved in ethylene signaling. Promoter bound by EIN3. EDF1 in turn, binds to promoter elements in ethylene responsive genes."
"GUL07G004320","AT3G15210","ATERF-4","Hormone: Ethylene",-2.95692278774921,4.57745099238613e-71,1.43296402686394e-69,"Encodes a member of the ERF (ethylene response factor) subfamily B-1 of ERF/AP2 transcription factor family (ATERF-4). The protein contains one AP2 domain. Acts as a negative regulator of JA-responsive defense gene expression and resistance to the  necrotrophic fungal pathogen Fusarium oxysporum and antagonizes JA inhibition of root elongation."
"GUL06G004084","AT5G47230","ATERF-5","Hormone: Ethylene",-3.08330531998012,8.01626019303449e-65,2.27185997595434e-63,"encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family (ATERF-5). The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5."
